,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6193,0.9202,0.5975,0.6376,0.611,0.5699,0.5731,0.265
lr,Logistic Regression,0.6215,0.9268,0.6073,0.6343,0.6086,0.5718,0.5761,0.039
xgboost,Extreme Gradient Boosting,0.6151,0.9246,0.5954,0.6337,0.6059,0.5649,0.5688,0.251
lightgbm,Light Gradient Boosting Machine,0.613,0.9234,0.5942,0.6301,0.6032,0.5626,0.5667,0.053
ridge,Ridge Classifier,0.6129,0.0,0.5988,0.6163,0.5979,0.5619,0.5664,0.004
dt,Decision Tree Classifier,0.6021,0.8018,0.5928,0.6305,0.5975,0.5516,0.5552,0.004
et,Extra Trees Classifier,0.5959,0.8764,0.5871,0.6128,0.5842,0.5432,0.5477,0.05
rf,Random Forest Classifier,0.5959,0.9081,0.5785,0.6022,0.5784,0.5418,0.5474,0.056
svm,SVM - Linear Kernel,0.5877,0.0,0.5829,0.6122,0.5763,0.5362,0.5419,0.008
ada,Ada Boost Classifier,0.3382,0.7148,0.2886,0.2335,0.2472,0.2359,0.2584,0.022
