,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6742,0.9364,0.6513,0.6939,0.6627,0.6311,0.636,0.054
ridge,Ridge Classifier,0.6703,0.0,0.6552,0.6821,0.6591,0.6272,0.6313,0.004
xgboost,Extreme Gradient Boosting,0.6638,0.932,0.6409,0.6859,0.6507,0.6196,0.6254,0.255
lr,Logistic Regression,0.6618,0.9337,0.6447,0.6676,0.6453,0.6171,0.6223,0.034
gbc,Gradient Boosting Classifier,0.6511,0.9266,0.6298,0.6733,0.6403,0.6056,0.6114,0.254
rf,Random Forest Classifier,0.6428,0.917,0.6196,0.6645,0.6304,0.5953,0.6001,0.055
et,Extra Trees Classifier,0.6364,0.8962,0.6157,0.6497,0.6211,0.5882,0.5937,0.049
svm,SVM - Linear Kernel,0.6237,0.0,0.6189,0.6601,0.61,0.5777,0.5853,0.007
dt,Decision Tree Classifier,0.6173,0.8115,0.5994,0.6342,0.6091,0.5684,0.5723,0.005
ada,Ada Boost Classifier,0.2832,0.7116,0.2465,0.1902,0.2037,0.1799,0.1963,0.021
