,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6427,0.9363,0.6201,0.6559,0.6288,0.5958,0.6008,0.046
lightgbm,Light Gradient Boosting Machine,0.6362,0.9299,0.6148,0.6506,0.6235,0.5889,0.5935,0.06
ridge,Ridge Classifier,0.63,0.0,0.6073,0.6431,0.6197,0.5816,0.5858,0.004
dt,Decision Tree Classifier,0.6214,0.8185,0.6037,0.6564,0.617,0.5734,0.577,0.005
xgboost,Extreme Gradient Boosting,0.6256,0.9301,0.6064,0.6467,0.6142,0.5776,0.5829,0.294
gbc,Gradient Boosting Classifier,0.6193,0.9208,0.5985,0.6455,0.6069,0.5695,0.5752,0.297
rf,Random Forest Classifier,0.6193,0.9137,0.5976,0.6316,0.604,0.5697,0.5752,0.056
et,Extra Trees Classifier,0.6065,0.8846,0.5926,0.6437,0.6003,0.5562,0.5611,0.05
svm,SVM - Linear Kernel,0.6002,0.0,0.5928,0.6131,0.5858,0.5506,0.5563,0.008
ada,Ada Boost Classifier,0.3317,0.7117,0.2661,0.2238,0.2413,0.2226,0.2433,0.025
