,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6426,0.9301,0.6239,0.6639,0.6319,0.5968,0.6016,0.047
xgboost,Extreme Gradient Boosting,0.6426,0.9317,0.6285,0.6607,0.6299,0.597,0.6015,0.256
lr,Logistic Regression,0.6426,0.9296,0.6256,0.6483,0.6289,0.5963,0.6005,0.042
ridge,Ridge Classifier,0.6405,0.0,0.6273,0.6541,0.6288,0.5941,0.5986,0.004
gbc,Gradient Boosting Classifier,0.6341,0.9247,0.6255,0.645,0.6231,0.5882,0.5918,0.26
rf,Random Forest Classifier,0.6279,0.9167,0.6146,0.649,0.6147,0.5798,0.5852,0.055
dt,Decision Tree Classifier,0.6193,0.8219,0.6124,0.6544,0.6144,0.5721,0.5761,0.005
et,Extra Trees Classifier,0.6237,0.8849,0.6109,0.647,0.6137,0.5757,0.5804,0.048
svm,SVM - Linear Kernel,0.615,0.0,0.6016,0.6356,0.5976,0.5665,0.5726,0.008
ada,Ada Boost Classifier,0.3023,0.6952,0.2262,0.1679,0.1953,0.1849,0.2129,0.022
