,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6446,0.9311,0.6191,0.6605,0.6301,0.5977,0.6024,0.057
lr,Logistic Regression,0.6307,0.9305,0.6044,0.649,0.6165,0.5816,0.587,0.043
xgboost,Extreme Gradient Boosting,0.6308,0.9257,0.6059,0.6421,0.6137,0.5823,0.587,0.284
gbc,Gradient Boosting Classifier,0.6307,0.9209,0.6003,0.6493,0.6124,0.5818,0.587,0.29
et,Extra Trees Classifier,0.6248,0.8831,0.6016,0.6518,0.6095,0.5754,0.5809,0.05
rf,Random Forest Classifier,0.6087,0.9159,0.5823,0.6323,0.5925,0.5567,0.5622,0.055
dt,Decision Tree Classifier,0.5968,0.8092,0.5731,0.6375,0.5877,0.5451,0.5497,0.005
ridge,Ridge Classifier,0.601,0.0,0.5758,0.6037,0.5826,0.5475,0.5521,0.004
svm,SVM - Linear Kernel,0.5967,0.0,0.5821,0.6285,0.5817,0.5455,0.5534,0.009
ada,Ada Boost Classifier,0.2774,0.6203,0.1905,0.1001,0.1436,0.1392,0.177,0.024
