,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6385,0.9107,0.6054,0.6504,0.6166,0.5918,0.5981,0.286
xgboost,Extreme Gradient Boosting,0.6327,0.9216,0.6008,0.6466,0.614,0.5851,0.5905,0.287
lr,Logistic Regression,0.6267,0.9268,0.5919,0.6361,0.6076,0.5777,0.5832,0.041
lightgbm,Light Gradient Boosting Machine,0.6286,0.9244,0.5956,0.631,0.6073,0.5802,0.5857,0.058
dt,Decision Tree Classifier,0.6147,0.8204,0.5844,0.6196,0.5993,0.5659,0.5702,0.005
rf,Random Forest Classifier,0.6146,0.9083,0.5854,0.6259,0.5951,0.5635,0.5694,0.056
et,Extra Trees Classifier,0.6105,0.8786,0.5821,0.6189,0.5896,0.5599,0.5659,0.051
ridge,Ridge Classifier,0.5989,0.0,0.5655,0.6135,0.5791,0.5453,0.5509,0.004
svm,SVM - Linear Kernel,0.5968,0.0,0.5659,0.6297,0.5768,0.5439,0.5533,0.008
ada,Ada Boost Classifier,0.3051,0.7881,0.2971,0.3017,0.2796,0.2187,0.2248,0.023
