,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6487,0.9349,0.6215,0.6703,0.636,0.6028,0.6074,0.058
gbc,Gradient Boosting Classifier,0.6307,0.9249,0.5999,0.6402,0.6174,0.5826,0.5865,0.283
lr,Logistic Regression,0.6307,0.9302,0.6005,0.6346,0.6123,0.581,0.5874,0.039
dt,Decision Tree Classifier,0.6207,0.8309,0.5965,0.6446,0.6111,0.5725,0.5769,0.005
ridge,Ridge Classifier,0.6209,0.0,0.5923,0.6329,0.6067,0.57,0.5746,0.004
xgboost,Extreme Gradient Boosting,0.6186,0.9333,0.5874,0.6296,0.6025,0.5688,0.5741,0.277
rf,Random Forest Classifier,0.6068,0.9258,0.5788,0.6178,0.5889,0.5548,0.5606,0.055
et,Extra Trees Classifier,0.6027,0.8996,0.5745,0.6097,0.5867,0.551,0.555,0.05
svm,SVM - Linear Kernel,0.5929,0.0,0.5663,0.6063,0.5698,0.5382,0.5459,0.008
ada,Ada Boost Classifier,0.2935,0.6673,0.2182,0.1709,0.1906,0.1595,0.1949,0.024
