,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6467,0.932,0.6169,0.6674,0.6314,0.6006,0.6054,0.069
gbc,Gradient Boosting Classifier,0.6427,0.9233,0.616,0.6626,0.6285,0.5966,0.601,0.315
lr,Logistic Regression,0.6467,0.9342,0.6106,0.6457,0.6228,0.5997,0.6056,0.051
xgboost,Extreme Gradient Boosting,0.6307,0.9317,0.5988,0.6428,0.616,0.5827,0.5869,0.31
dt,Decision Tree Classifier,0.6107,0.82,0.5956,0.6431,0.6015,0.5616,0.566,0.005
et,Extra Trees Classifier,0.6127,0.8928,0.5941,0.643,0.5985,0.5634,0.5686,0.052
rf,Random Forest Classifier,0.6107,0.9145,0.5805,0.626,0.591,0.5596,0.5656,0.06
ridge,Ridge Classifier,0.6028,0.0,0.5748,0.6198,0.5822,0.5512,0.5564,0.004
svm,SVM - Linear Kernel,0.5909,0.0,0.5733,0.628,0.5771,0.5396,0.5462,0.009
ada,Ada Boost Classifier,0.2835,0.6461,0.2354,0.1845,0.1893,0.1586,0.2005,0.026
