,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6387,0.932,0.6225,0.6671,0.6254,0.5919,0.5963,0.283
lightgbm,Light Gradient Boosting Machine,0.6328,0.9315,0.6143,0.6696,0.6186,0.5851,0.5901,0.057
lr,Logistic Regression,0.6307,0.9316,0.6139,0.6483,0.6118,0.5819,0.5871,0.043
et,Extra Trees Classifier,0.6207,0.8912,0.6095,0.6457,0.6105,0.5714,0.5757,0.05
gbc,Gradient Boosting Classifier,0.6208,0.926,0.6075,0.6417,0.606,0.5721,0.5763,0.283
dt,Decision Tree Classifier,0.6166,0.8266,0.6114,0.6434,0.6056,0.5683,0.5729,0.005
ridge,Ridge Classifier,0.6108,0.0,0.5922,0.6229,0.5927,0.5595,0.5648,0.004
svm,SVM - Linear Kernel,0.5908,0.0,0.5847,0.6107,0.5713,0.5382,0.5459,0.008
rf,Random Forest Classifier,0.5788,0.917,0.5635,0.5968,0.5609,0.5236,0.5287,0.059
ada,Ada Boost Classifier,0.3014,0.672,0.2393,0.1625,0.1884,0.1771,0.2197,0.023
