,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6427,0.92,0.6131,0.6535,0.6272,0.5955,0.5998,0.066
gbc,Gradient Boosting Classifier,0.6446,0.9042,0.6099,0.6586,0.6268,0.5975,0.6026,0.291
xgboost,Extreme Gradient Boosting,0.6327,0.9185,0.6023,0.6476,0.6156,0.584,0.5897,0.32
lr,Logistic Regression,0.6326,0.9231,0.598,0.6388,0.6132,0.5835,0.5891,0.047
et,Extra Trees Classifier,0.6166,0.8775,0.5888,0.6277,0.6019,0.5657,0.571,0.055
dt,Decision Tree Classifier,0.6126,0.8117,0.582,0.6222,0.5991,0.5623,0.5662,0.005
svm,SVM - Linear Kernel,0.6145,0.0,0.5893,0.6215,0.5949,0.5633,0.5696,0.008
rf,Random Forest Classifier,0.6106,0.9043,0.5761,0.6176,0.5905,0.5583,0.5642,0.057
ridge,Ridge Classifier,0.5828,0.0,0.5534,0.5971,0.5647,0.5273,0.5324,0.004
ada,Ada Boost Classifier,0.3154,0.7158,0.2612,0.2196,0.2391,0.2109,0.2251,0.023
