,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6806,0.9323,0.6628,0.6778,0.6671,0.6389,0.6421,0.058
xgboost,Extreme Gradient Boosting,0.6725,0.9296,0.661,0.682,0.6638,0.6297,0.6323,0.29
lr,Logistic Regression,0.6667,0.9336,0.6451,0.6711,0.6535,0.6215,0.6254,0.046
ridge,Ridge Classifier,0.6568,0.0,0.6332,0.6508,0.641,0.6104,0.6144,0.004
gbc,Gradient Boosting Classifier,0.6466,0.9227,0.627,0.6515,0.6344,0.5999,0.6031,0.291
rf,Random Forest Classifier,0.6446,0.9156,0.6304,0.6556,0.6293,0.5969,0.602,0.056
dt,Decision Tree Classifier,0.6387,0.8328,0.6326,0.6544,0.6287,0.5921,0.5956,0.005
et,Extra Trees Classifier,0.6346,0.8902,0.617,0.6516,0.6224,0.5861,0.59,0.052
svm,SVM - Linear Kernel,0.6126,0.0,0.6042,0.6431,0.6023,0.5627,0.5687,0.009
ada,Ada Boost Classifier,0.3035,0.6733,0.241,0.1773,0.2014,0.1771,0.2123,0.025
