,feature,Light Gradient Boosting Machine,Extreme Gradient Boosting,Logistic Regression,mean_imp
0,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0
19,20,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.0,0.0
24,25,0.0,0.0,0.0,0.0
25,26,0.0,0.0,0.0,0.0
26,27,0.0,0.0,0.0,0.0
27,28,0.0,0.0,0.0,0.0
28,29,0.0,0.0,0.0,0.0
29,30,0.0,0.0,0.0,0.0
30,31,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0
32,33,0.0,0.0,0.0,0.0
33,34,0.0,0.0,0.0,0.0
34,35,0.0,0.0,0.0,0.0
35,36,0.0,0.0,0.0,0.0
36,37,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0
38,39,0.0,0.0,0.0,0.0
39,40,0.0,0.0,0.0,0.0
40,41,0.0,0.0,0.0,0.0
41,42,0.0,0.0,0.0,0.0
42,43,0.0,0.0,0.0,0.0
43,44,0.0,0.0,0.0,0.0
44,45,0.0,0.0,0.0,0.0
45,46,0.0,0.0,0.0,0.0
46,47,0.0,0.0,0.0,0.0
47,48,0.0,0.0,0.0,0.0
48,49,0.0,0.0,0.0,0.0
49,50,0.0,0.0,0.0,0.0
50,51,0.0,0.0,0.0,0.0
51,52,0.0,0.0,0.0,0.0
52,53,0.0,0.0,0.0,0.0
53,54,0.0,0.0,0.0,0.0
54,55,0.0,0.0,0.0,0.0
55,56,0.0,0.0,0.0,0.0
56,57,0.0,0.0,0.0,0.0
57,58,0.0,0.0,0.0,0.0
58,59,0.0,0.0,0.0,0.0
59,60,0.0,0.0,0.0,0.0
60,61,0.0,0.0,0.0,0.0
61,62,0.0,0.0,0.0,0.0
62,63,0.0,0.0,0.0,0.0
63,64,0.0,0.0,0.0,0.0
64,65,0.0,0.0,0.0,0.0
65,66,0.43775100401606426,0.44292343,0.6597445907362088,0.5134730071267953
66,67,0.025435073627844713,0.03762396,0.0976089630310179,0.053555999061220015
67,68,0.3092369477911647,0.28694856,0.5683832643107155,0.3881895912567588
68,69,0.31593038821954483,0.39504588,0.36200399462333654,0.35766008644862407
69,70,0.46987951807228917,0.48400816,0.6851477001273296,0.5463451271377829
70,71,0.33467202141900937,0.2550838,0.4410154586967029,0.34359042649263155
71,72,0.0,0.0,0.0,0.0
72,73,0.0,0.0,0.0,0.0
73,74,0.0,0.0,0.0,0.0
74,75,0.025435073627844713,0.03762396,0.0976089630310179,0.053555999061220015
75,76,0.26238286479250333,0.576509,0.4404602261958323,0.4264506966197284
76,77,0.23427041499330656,0.31039482,0.473828886404722,0.3394980416497355
77,78,0.3668005354752343,0.4702938,0.5572219206853724,0.4647720820875372
78,79,0.03748326639892905,0.01753151,0.12426038826845932,0.059758388369961245
79,80,0.0,0.0,0.0,0.0
80,81,0.050870147255689425,0.07524792,0.1952179260620358,0.10711199812244003
81,82,0.10977242302543508,0.04730849,0.23921963951984687,0.13210018407519072
82,83,0.0,0.0,0.0,0.0
83,84,0.0,0.0,0.0,0.0
84,85,0.0,0.0,0.0,0.0
85,86,0.0,0.0,0.0,0.0
86,87,0.0,0.0,0.0,0.0
87,88,0.0,0.0,0.0,0.0
88,89,0.0,0.0,0.0,0.0
89,90,0.0,0.0,0.0,0.0
90,91,0.0,0.0,0.0,0.0
91,92,0.0,0.0,0.0,0.0
92,93,0.0,0.0,0.0,0.0
93,94,0.0,0.0,0.0,0.0
94,95,0.3413654618473896,0.43266985,0.45961295765435445,0.41121608923513436
95,96,0.19544846050870146,0.2030287,0.3066774498955503,0.23505153473315196
96,97,0.12985274431057564,0.41661,0.357067191915182,0.3011766462478193
97,98,0.4002677376171352,0.36231637,0.5645546330143718,0.442379580213961
98,99,0.3493975903614458,0.2585496,0.5106504169712786,0.37286586939077976
99,100,0.11646586345381527,0.10619301,0.30867420605288004,0.17711102766531392
100,101,0.2289156626506024,0.17153308,0.5559806692963967,0.3188098033007483
101,102,0.0,0.0,0.0,0.0
102,103,0.0,0.0,0.0,0.0
103,104,0.0,0.0,0.0,0.0
104,105,0.0,0.0,0.0,0.0
105,106,0.0,0.0,0.0,0.0
106,107,0.0,0.0,0.0,0.0
107,108,0.0,0.0,0.0,0.0
108,109,0.0,0.0,0.0,0.0
109,110,0.0,0.0,0.0,0.0
110,111,0.3119143239625167,0.08155362,0.3212836077852811,0.23825051827601715
111,112,0.3908969210174029,0.7592037,0.6537519054525545,0.601284166293005
112,113,0.3908969210174029,0.34493068,0.7538152680424695,0.4965476225553019
113,114,0.20883534136546184,0.27277085,0.37621992337370413,0.2859420388632252
114,115,0.14190093708165996,0.055793185,0.28532599882340676,0.16100670689736724
115,116,0.13386880856760375,0.09229732,0.4729353983084647,0.23303384330806107
116,117,0.18340026773761714,0.2351469,0.2786109603426862,0.2323860410437686
117,118,0.050870147255689425,0.07524792,0.1952179260620358,0.10711199812244003
118,119,0.20080321285140562,0.306031,0.35528530457906105,0.28737316870790136
119,120,0.3386880856760375,0.048823774,0.5680991224259,0.318536993987623
120,121,0.31593038821954483,0.39504588,0.36200399462333654,0.35766008644862407
121,122,0.20883534136546184,0.27277085,0.37621992337370413,0.2859420388632252
122,123,0.9611780455153949,0.20022283,0.9579375676159473,0.7064461493586891
123,124,0.42302543507362783,0.057411063,0.5336085073814487,0.3380150019725241
124,125,0.025435073627844713,0.03762396,0.0976089630310179,0.053555999061220015
125,126,0.4484605087014726,0.47523907,0.6247199509934231,0.5161398426548751
126,127,0.050870147255689425,0.07524792,0.1952179260620358,0.10711199812244003
127,128,0.39357429718875503,0.44147965,0.556974534055918,0.464009494788238
128,129,0.0,0.0,0.0,0.0
129,130,0.24765729585006693,0.28759763,0.4957450117970038,0.3436666446982494
130,131,0.3413654618473896,0.43266985,0.45961295765435445,0.41121608923513436
131,132,0.0,0.0,0.0,0.0
132,133,0.0,0.0,0.0,0.0
133,134,0.15796519410977242,0.19752294,0.18100199731166827,0.17883004322431204
134,135,0.025435073627844713,0.03762396,0.0976089630310179,0.053555999061220015
135,136,0.4484605087014726,0.49615672,0.5907595175735761,0.511792249527418
136,137,0.07630522088353414,0.112871885,0.2928268890930537,0.16066799842542348
137,138,0.025435073627844713,0.03762396,0.0976089630310179,0.053555999061220015
138,139,0.3949129852744311,0.23522542,0.5066458189501127,0.37892807613167934
139,140,0.5903614457831325,0.072664015,0.6490748337579961,0.43736676484540893
140,141,0.392235609103079,0.50791776,0.6548308837163903,0.5183280848740476
141,142,0.0,0.0,0.0,0.0
142,143,0.0,0.0,0.0,0.0
143,144,0.050870147255689425,0.07524792,0.1952179260620358,0.10711199812244003
144,145,0.0,0.0,0.0,0.0
145,146,0.025435073627844713,0.03762396,0.0976089630310179,0.053555999061220015
146,147,0.18340026773761714,0.2351469,0.2786109603426862,0.2323860410437686
147,148,0.025435073627844713,0.03762396,0.0976089630310179,0.053555999061220015
148,149,0.025435073627844713,0.03762396,0.0976089630310179,0.053555999061220015
