,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6387,0.914,0.6032,0.6384,0.622,0.591,0.595,0.284
lightgbm,Light Gradient Boosting Machine,0.6368,0.9238,0.6031,0.6393,0.6206,0.588,0.5918,0.061
lr,Logistic Regression,0.6347,0.9265,0.6011,0.6369,0.618,0.5853,0.5894,0.048
xgboost,Extreme Gradient Boosting,0.6348,0.921,0.6014,0.6359,0.6161,0.5861,0.5902,0.302
rf,Random Forest Classifier,0.6288,0.9152,0.596,0.6272,0.6091,0.578,0.5832,0.056
ridge,Ridge Classifier,0.6109,0.0,0.5826,0.6235,0.5993,0.5584,0.5621,0.004
et,Extra Trees Classifier,0.6088,0.8813,0.5814,0.6129,0.5889,0.5564,0.5613,0.051
dt,Decision Tree Classifier,0.6028,0.8194,0.5819,0.6016,0.5838,0.5514,0.5557,0.005
svm,SVM - Linear Kernel,0.5767,0.0,0.5611,0.6086,0.5641,0.5236,0.5292,0.01
ada,Ada Boost Classifier,0.3593,0.781,0.3139,0.3048,0.305,0.2639,0.2768,0.022
