,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6405,0.9174,0.6162,0.6572,0.6244,0.5926,0.5985,0.273
lr,Logistic Regression,0.6363,0.9247,0.6136,0.6385,0.62,0.5874,0.5918,0.041
lightgbm,Light Gradient Boosting Machine,0.6383,0.922,0.6159,0.6424,0.6183,0.5903,0.5956,0.054
gbc,Gradient Boosting Classifier,0.6152,0.9121,0.5874,0.6204,0.6001,0.5644,0.5692,0.278
ridge,Ridge Classifier,0.6151,0.0,0.5948,0.6143,0.5984,0.5635,0.5677,0.004
rf,Random Forest Classifier,0.6152,0.9117,0.5954,0.6191,0.5975,0.5638,0.5691,0.061
et,Extra Trees Classifier,0.5984,0.8789,0.5833,0.6099,0.5847,0.5457,0.5508,0.05
svm,SVM - Linear Kernel,0.5917,0.0,0.5801,0.6234,0.5765,0.5388,0.5466,0.008
dt,Decision Tree Classifier,0.5856,0.8103,0.5693,0.6229,0.576,0.5325,0.5383,0.005
ada,Ada Boost Classifier,0.3275,0.7099,0.2798,0.217,0.239,0.2222,0.2431,0.023
