,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6488,0.9188,0.6314,0.6591,0.6394,0.6042,0.6074,0.056
xgboost,Extreme Gradient Boosting,0.6348,0.9192,0.6114,0.6428,0.625,0.588,0.5907,0.313
lr,Logistic Regression,0.6309,0.9196,0.6108,0.6372,0.6193,0.5835,0.5873,0.045
gbc,Gradient Boosting Classifier,0.6208,0.9128,0.6019,0.6189,0.6083,0.5731,0.5764,0.292
ridge,Ridge Classifier,0.6089,0.0,0.5907,0.6135,0.5999,0.5588,0.5625,0.004
rf,Random Forest Classifier,0.6089,0.9049,0.5922,0.6097,0.5938,0.5582,0.5621,0.054
dt,Decision Tree Classifier,0.595,0.8042,0.584,0.6119,0.5843,0.5449,0.5491,0.005
et,Extra Trees Classifier,0.5889,0.868,0.5742,0.6067,0.5775,0.5365,0.5403,0.05
svm,SVM - Linear Kernel,0.5728,0.0,0.5479,0.596,0.5572,0.5188,0.526,0.008
ada,Ada Boost Classifier,0.2795,0.6028,0.2114,0.1219,0.1545,0.1456,0.1953,0.023
