,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6386,0.9258,0.627,0.6662,0.6319,0.5932,0.5973,0.277
lr,Logistic Regression,0.6387,0.9292,0.6243,0.6728,0.6284,0.5924,0.5979,0.038
lightgbm,Light Gradient Boosting Machine,0.6368,0.9271,0.6246,0.6552,0.6284,0.5907,0.5942,0.052
gbc,Gradient Boosting Classifier,0.6247,0.9179,0.6092,0.6427,0.6151,0.5775,0.5814,0.274
et,Extra Trees Classifier,0.6227,0.8853,0.6165,0.6492,0.6118,0.5755,0.5806,0.051
dt,Decision Tree Classifier,0.6167,0.8216,0.6072,0.6415,0.611,0.569,0.5727,0.005
rf,Random Forest Classifier,0.6147,0.9092,0.603,0.6283,0.6015,0.5659,0.5704,0.057
svm,SVM - Linear Kernel,0.5928,0.0,0.5825,0.6235,0.5801,0.5428,0.5495,0.008
ridge,Ridge Classifier,0.5869,0.0,0.5674,0.6132,0.5751,0.5339,0.5387,0.004
ada,Ada Boost Classifier,0.2895,0.6541,0.2306,0.1343,0.1707,0.1716,0.2022,0.022
