feature,BayesianRidge,xgb,HubR,mean
1,0.1756426310149131,0.0002866154827643186,0.11302324682803322,0.09631749777523686
2,0.37028104454996563,0.0003499931772239506,0.29012918850478786,0.22025340874399246
3,0.160502795391737,2.1843477952643298e-05,0.30981927208316423,0.1567813036509513
4,0.18329460699579514,2.812474122038111e-05,0.3035912570909975,0.162304662942671
5,0.2082123605687651,1.2053572390868794e-05,0.21414742712852194,0.1407906137565593
6,0.0893068398115417,0.001954935723915696,0.19903042109709856,0.09676406554418532
7,0.10997585439859006,0.00020178106206003577,0.21021198789923815,0.10679654111996274
8,0.0834757239895011,0.0015647764084860682,0.16713652990917868,0.08405901010238863
9,0.11118077131241925,2.960684014396975e-06,0.2120554429557617,0.10774639165073178
10,0.20868988967824353,1.4533981129716267e-06,0.28352770988478415,0.16407301765371354
11,0.1801938744931971,0.028735406696796417,0.08473865170507515,0.09788931096502289
12,0.06093097267050231,0.0,0.23357877363789967,0.098169915436134
13,0.11484571610988151,0.00010835764260264114,0.18667039795271242,0.10054149056839885
14,0.11905812837261154,0.0004382924234960228,0.23605094117113887,0.11851578732241548
15,0.275278081629657,0.0044518643990159035,0.1543806498500459,0.14470353195957295
16,0.0985043146843656,0.0,0.7280541128612348,0.2755194758485335
17,0.23623241977400147,0.00028892350383102894,0.18708330715474653,0.141201550144193
18,0.25461760369641817,5.1518720283638686e-05,0.22891812581646048,0.1611957494110541
19,0.36164786179391717,0.0003564396174624562,0.24149519221774834,0.201166497876376
20,0.11237136002538219,0.0003901736345142126,0.20576289885106505,0.10617481083698715
21,0.27513888587977614,2.9650329452124424e-05,0.20382258244074397,0.1596637062166574
22,0.5284959080673463,0.0002424404228804633,0.34645625593937285,0.2917315348098665
23,0.12457139765785295,8.614360558567569e-05,0.16340011186685313,0.09601921771009725
24,0.0,0.0,0.0,0.0
25,0.14689364015113832,0.0001533519825898111,0.13871135407884858,0.0952527820708589
26,0.05274996172783221,0.0009956243447959423,0.20117711970096136,0.08497423525786317
27,0.06905262260749849,3.3954547689063475e-05,0.29810582259861096,0.1223974665845995
28,0.2754295765705483,0.0010820121970027685,0.5030900425161451,0.25986721042789873
29,0.22330584960917224,8.524778422724921e-06,0.18252011679836563,0.13527816372865353
30,0.30610850587785743,0.003086030948907137,0.24240212747739276,0.18386555476805244
31,0.02475397197873834,1.6488259007019224e-06,0.07829897589293044,0.034351532232523165
32,0.0063788915855904176,8.63844070408959e-06,0.03568885790574753,0.014025462644014011
33,0.09356023629353022,0.006955922115594149,0.11137827968703215,0.07063147936538551
34,0.5995162148847183,0.0001530089066363871,0.28693081761070705,0.2955333471340206
35,0.11727469190004583,3.608308543334715e-05,0.132539569334238,0.08328344810657239
36,0.023509460108179895,0.0,0.04289296932619906,0.02213414314479298
37,0.22658933709802118,0.0013849276583641768,0.2738977151355411,0.1672906599639755
38,0.21512172717791328,0.003595571266487241,0.12490036252063802,0.11453922032167951
39,0.2895623740925269,0.02090463787317276,0.13787568090501034,0.14944756429023667
40,0.2655488613069652,0.0004929590504616499,0.07468399110242782,0.11357527048661824
41,0.11127341340396685,5.7600776926847175e-05,0.2469359762480747,0.11942233014298946
42,0.04625008249145325,0.00012341205729171634,0.1634912831361634,0.06995492589496945
43,0.34550376579030423,0.0001687284529907629,0.2571911168921889,0.2009545370451613
44,0.07638571441476415,0.0,0.14117891748284295,0.07252154396586903
45,0.05872271018908241,0.0,0.24552880069856667,0.10141717029588303
46,0.19973944971918495,0.0004746766062453389,0.13004606790669376,0.11008673141070802
47,1.0,6.34777097729966e-05,0.7325024598645165,0.5775219791914298
48,0.07379699654513323,0.0,0.383985234837661,0.15259407712759807
49,0.23062176598042536,0.36472585797309875,0.17505276100583816,0.25680012831978744
50,0.4771817254938644,0.000288100796751678,0.2745736152848464,0.25068114719182083
51,0.14048573108684206,0.0003567042585927993,0.1313299652496964,0.09072413353171042
52,0.009664310164953895,0.0,0.20770954315293721,0.0724579511059637
53,0.0849012872579065,0.0015905804466456175,0.07959700058224169,0.05536295609559794
54,0.08482897340635151,0.0,0.17699930558382324,0.08727609299672491
55,0.21938409543945897,9.362914170196746e-06,0.1736294133403491,0.13100762389799275
56,0.0,0.0,0.0,0.0
57,0.3573004001204972,0.002877195831388235,0.3443066093693395,0.2348280684404083
58,0.23322133978677428,0.0019019008614122868,0.3740492339308276,0.20305749152633804
59,0.2669492883113186,7.351724207182997e-08,0.3889231493325651,0.21862417038704193
60,0.0,0.0,0.0,0.0
61,0.1313385415629503,0.00011087433085776865,0.20504609614939925,0.11216517068106911
62,0.2214119212500937,0.0,0.23098168752357992,0.15079786959122454
63,0.0,0.0,0.0,0.0
64,0.17739446190486005,0.0011341834906488657,0.11365987205217797,0.09739617248256228
65,0.3238266546304411,0.0001866971142590046,0.1204972669580214,0.1481702062342405
66,0.24906284810765258,1.0,0.19522595368378776,0.4814296005971468
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.06752973490968237,2.3581007724260417e-07,0.4538123070798475,0.1737807592665357
71,0.22287539191145042,0.0,0.2320242805689658,0.15163322416013872
72,0.04582291956939014,0.0,0.19408982400167132,0.07997091452368715
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,0.23268581711190045,7.292466307262657e-06,0.27921125260905977,0.1706347873957558
76,0.04032078424420057,0.0,0.2795935636965063,0.1066381159802356
77,0.07961641165466384,0.0,0.5353085335491597,0.20497498173460785
78,0.09251410623107566,0.0,0.3379175634962511,0.14347722324244225
79,0.0,0.0,0.0,0.0
80,0.059983770095274364,2.452626404192415e-07,0.06531594778778857,0.041766654381901115
81,0.015407220996979845,0.0003004560712724924,0.11230994506607843,0.042672540711443586
82,0.039359563668339106,0.0013824808411300182,0.15007835875423742,0.06360680108790218
83,0.10555585384335825,2.0589502582879504e-06,0.14435122433996153,0.0833030457111927
84,0.16930888995410803,0.0,0.07889866785718293,0.08273585260376365
85,0.21569718180676176,3.1306744858738966e-06,0.5097406967608841,0.24181366974737725
86,0.36419513595382047,0.0003138361789751798,0.3241477128796873,0.2295522283374943
87,0.42739307947152716,0.02232513763010502,0.30299990571332824,0.25090604093832014
