,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6585,0.9291,0.6251,0.6708,0.6461,0.6142,0.6176,0.342
gbc,Gradient Boosting Classifier,0.6486,0.9218,0.6211,0.6667,0.641,0.6036,0.6066,0.344
lightgbm,Light Gradient Boosting Machine,0.6525,0.9335,0.6232,0.6598,0.637,0.6074,0.6115,0.069
lr,Logistic Regression,0.6388,0.9335,0.6134,0.6547,0.6244,0.5919,0.5963,0.056
et,Extra Trees Classifier,0.6146,0.8824,0.5892,0.635,0.6016,0.565,0.569,0.054
rf,Random Forest Classifier,0.6147,0.9151,0.5848,0.6158,0.597,0.564,0.5682,0.058
ridge,Ridge Classifier,0.6109,0.0,0.5822,0.622,0.5935,0.56,0.565,0.004
svm,SVM - Linear Kernel,0.5947,0.0,0.5678,0.6278,0.5832,0.5429,0.5496,0.009
dt,Decision Tree Classifier,0.5929,0.8064,0.5659,0.6059,0.5785,0.541,0.5451,0.006
ada,Ada Boost Classifier,0.3153,0.7131,0.2657,0.2475,0.2357,0.2038,0.2308,0.026
