,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
ridge,Ridge Classifier,0.683,0.0,0.649,0.6902,0.6699,0.6404,0.6445,0.004
lr,Logistic Regression,0.6747,0.9389,0.6392,0.6811,0.6613,0.6309,0.6355,0.039
xgboost,Extreme Gradient Boosting,0.6704,0.9267,0.6373,0.6879,0.661,0.6268,0.6312,0.259
lightgbm,Light Gradient Boosting Machine,0.6683,0.9315,0.6365,0.6841,0.657,0.6244,0.6289,0.05
gbc,Gradient Boosting Classifier,0.6619,0.9208,0.6251,0.6697,0.6487,0.6167,0.6207,0.263
et,Extra Trees Classifier,0.6322,0.8849,0.6062,0.6503,0.6237,0.5839,0.5883,0.048
svm,SVM - Linear Kernel,0.6237,0.0,0.6043,0.6648,0.6134,0.5759,0.5835,0.008
rf,Random Forest Classifier,0.6217,0.9187,0.5928,0.6376,0.6133,0.5716,0.576,0.057
dt,Decision Tree Classifier,0.6133,0.8087,0.5914,0.6403,0.61,0.5639,0.5678,0.005
ada,Ada Boost Classifier,0.3195,0.7063,0.2482,0.1667,0.2004,0.2041,0.2353,0.022
