,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6605,0.9206,0.6281,0.6801,0.6527,0.6144,0.618,0.283
xgboost,Extreme Gradient Boosting,0.6626,0.9318,0.6252,0.6854,0.6519,0.6166,0.6212,0.273
lightgbm,Light Gradient Boosting Machine,0.6625,0.9361,0.6216,0.6851,0.6497,0.6159,0.6205,0.058
lr,Logistic Regression,0.6527,0.9291,0.6135,0.6549,0.6343,0.6039,0.609,0.041
ridge,Ridge Classifier,0.6407,0.0,0.5985,0.6487,0.6248,0.5906,0.5951,0.004
rf,Random Forest Classifier,0.6186,0.9237,0.5808,0.6447,0.6054,0.5649,0.5703,0.063
dt,Decision Tree Classifier,0.6126,0.8201,0.5818,0.6348,0.6035,0.5607,0.5651,0.005
et,Extra Trees Classifier,0.6126,0.8921,0.5759,0.6298,0.6012,0.5596,0.5638,0.051
svm,SVM - Linear Kernel,0.6068,0.0,0.5659,0.6314,0.5877,0.5514,0.5596,0.008
ada,Ada Boost Classifier,0.3054,0.6097,0.2168,0.157,0.1874,0.1578,0.2082,0.022
