,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6347,0.9319,0.6167,0.6555,0.6246,0.5879,0.5919,0.042
lightgbm,Light Gradient Boosting Machine,0.6366,0.9284,0.6182,0.6482,0.6197,0.5901,0.5945,0.06
xgboost,Extreme Gradient Boosting,0.6306,0.9321,0.6141,0.6547,0.6148,0.5836,0.5881,0.269
gbc,Gradient Boosting Classifier,0.6207,0.9237,0.6033,0.6296,0.6065,0.5722,0.5759,0.279
dt,Decision Tree Classifier,0.5946,0.8126,0.5818,0.6163,0.5852,0.5434,0.5475,0.005
et,Extra Trees Classifier,0.5966,0.8887,0.5855,0.6144,0.5826,0.5454,0.5498,0.05
ridge,Ridge Classifier,0.5928,0.0,0.5762,0.6031,0.5806,0.541,0.5451,0.004
rf,Random Forest Classifier,0.5907,0.9181,0.5774,0.6048,0.5756,0.5377,0.5423,0.055
svm,SVM - Linear Kernel,0.5787,0.0,0.5735,0.6382,0.5672,0.5258,0.5361,0.008
ada,Ada Boost Classifier,0.3214,0.6891,0.2645,0.2091,0.226,0.2102,0.2385,0.023
