,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6167,0.9285,0.5879,0.6398,0.6015,0.5665,0.5718,0.043
lightgbm,Light Gradient Boosting Machine,0.6128,0.9221,0.5824,0.6332,0.5974,0.5621,0.5669,0.06
gbc,Gradient Boosting Classifier,0.6147,0.918,0.585,0.6224,0.5973,0.5645,0.569,0.292
xgboost,Extreme Gradient Boosting,0.6107,0.923,0.5809,0.6252,0.5935,0.5599,0.5648,0.296
rf,Random Forest Classifier,0.6148,0.9086,0.5898,0.6183,0.5913,0.5635,0.569,0.056
ridge,Ridge Classifier,0.6028,0.0,0.5693,0.6158,0.5844,0.5503,0.5562,0.004
et,Extra Trees Classifier,0.5888,0.8752,0.5647,0.5969,0.5673,0.5345,0.5398,0.05
svm,SVM - Linear Kernel,0.5768,0.0,0.5586,0.6156,0.5608,0.5231,0.5306,0.01
dt,Decision Tree Classifier,0.5788,0.8151,0.5482,0.5953,0.5563,0.524,0.5298,0.005
ada,Ada Boost Classifier,0.3574,0.755,0.3172,0.3099,0.301,0.2661,0.2799,0.024
