,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6491,0.9314,0.625,0.6556,0.6339,0.6016,0.6065,0.037
gbc,Gradient Boosting Classifier,0.6472,0.9192,0.6202,0.6661,0.6337,0.6006,0.6062,0.262
ridge,Ridge Classifier,0.6448,0.0,0.6168,0.6514,0.6269,0.5965,0.6019,0.004
lightgbm,Light Gradient Boosting Machine,0.6387,0.9256,0.6132,0.6404,0.6172,0.5906,0.5962,0.055
xgboost,Extreme Gradient Boosting,0.6302,0.9265,0.6102,0.6397,0.6137,0.5814,0.5867,0.262
rf,Random Forest Classifier,0.6302,0.9116,0.6028,0.6348,0.6084,0.5797,0.5862,0.055
et,Extra Trees Classifier,0.6215,0.8901,0.5976,0.6298,0.6028,0.5708,0.5768,0.05
dt,Decision Tree Classifier,0.5961,0.8053,0.5811,0.6327,0.5853,0.5446,0.5506,0.005
svm,SVM - Linear Kernel,0.6068,0.0,0.5833,0.6257,0.5843,0.5549,0.5638,0.008
ada,Ada Boost Classifier,0.3066,0.6789,0.2252,0.1973,0.1981,0.1653,0.234,0.022
