,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6576,0.933,0.6329,0.6759,0.643,0.6122,0.618,0.042
xgboost,Extreme Gradient Boosting,0.6535,0.9337,0.6329,0.6707,0.6419,0.6085,0.6129,0.251
ridge,Ridge Classifier,0.6533,0.0,0.6347,0.6712,0.6409,0.608,0.6127,0.004
gbc,Gradient Boosting Classifier,0.6514,0.9228,0.6328,0.6639,0.6382,0.6062,0.6113,0.274
lightgbm,Light Gradient Boosting Machine,0.6407,0.9313,0.6216,0.6517,0.6274,0.594,0.5982,0.055
rf,Random Forest Classifier,0.6301,0.9074,0.6182,0.6519,0.6164,0.582,0.5869,0.055
et,Extra Trees Classifier,0.6237,0.8923,0.6113,0.6289,0.6087,0.575,0.579,0.05
dt,Decision Tree Classifier,0.6005,0.8123,0.5917,0.6204,0.5934,0.5505,0.554,0.005
svm,SVM - Linear Kernel,0.6048,0.0,0.592,0.6292,0.5908,0.5551,0.5623,0.009
ada,Ada Boost Classifier,0.3869,0.7363,0.3221,0.3043,0.3054,0.2889,0.309,0.021
