,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
ridge,Ridge Classifier,0.6428,0.0,0.6248,0.6412,0.6255,0.5963,0.6012,0.004
lr,Logistic Regression,0.6343,0.9273,0.6081,0.6401,0.618,0.5858,0.5905,0.04
xgboost,Extreme Gradient Boosting,0.6279,0.9216,0.609,0.6464,0.6174,0.5806,0.5846,0.255
lightgbm,Light Gradient Boosting Machine,0.6301,0.923,0.6066,0.6358,0.6132,0.5824,0.5872,0.053
gbc,Gradient Boosting Classifier,0.6279,0.9168,0.6052,0.6374,0.6132,0.5797,0.5838,0.266
svm,SVM - Linear Kernel,0.6279,0.0,0.6166,0.6547,0.613,0.5811,0.588,0.008
dt,Decision Tree Classifier,0.6045,0.8181,0.5916,0.6277,0.5977,0.5547,0.5585,0.005
rf,Random Forest Classifier,0.6152,0.9142,0.5976,0.6231,0.5952,0.5648,0.5697,0.06
et,Extra Trees Classifier,0.6067,0.8861,0.5914,0.6233,0.5917,0.5559,0.5599,0.05
ada,Ada Boost Classifier,0.332,0.7412,0.2967,0.2627,0.2642,0.2377,0.2544,0.022
