feature,p_value,score,gbc,lg,xgb,mean
p1_M,2.1687879398726277e-13,65.35245999529022,1.0,0.10122324987516208,1.0,0.7004077499583875
p1_QFPAH,2.110140648748354e-33,159.25680893103169,0.003957320640800918,0.02032225506715155,0.0,0.008093191902650822
p2_DQLMTEGPHY,2.1791930021477677e-10,51.04996672278933,0.00253628842384812,0.09847899677952082,0.0016824062,0.034232563792773084
p2_N,2.375810881509694e-38,182.31276333100038,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p2_S,6.240470752397412e-70,328.9172440691953,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p3_G,1.1608163449520268e-43,207.02266198311634,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p3_GAP,2.804433837184524e-54,256.33903797201214,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p4_G,1.0113440015312911e-22,109.32988490883191,0.0008698285482073847,0.09575441414042779,0.0054316735,0.03401863872604873
p4_MSDAQPV,1.1606218785351547e-27,132.45789087531088,0.0,0.08269754190007074,0.0009751149,0.02789088559184794
p4_R,2.45850658183186e-33,158.94736842105203,1.0,0.10122324987516208,1.0,0.7004077499583875
p4_T,2.6632458105667734e-39,186.73696027774864,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p5_QKHDPN,1.8581723792782223e-18,89.2957915443755,4.7323333722820246e-05,0.05922722777493397,0.0012004916,0.020158347557047495
p5_R,4.1530060778249864e-16,78.21826625386969,4.446339147804039e-05,0.12141747240375853,0.023324076,0.04826200396050643
p6_GAP,3.513772851647659e-58,274.44421381728955,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p6_P,1.1386820380563428e-25,123.14211737629411,0.7275042282039994,0.09508512652692436,0.520508,0.44769911534828605
p6_Q,3.840442775473936e-46,218.55263157894655,1.0,0.10122324987516208,1.0,0.7004077499583875
p6_RHFMK,4.1530060778249864e-16,78.21826625386969,0.0,0.058156337302323446,0.0,0.01938544576744115
p7_E,5.681760234501307e-35,166.57490030457382,0.005392210895383092,0.18348713582736784,0.014458755,0.06777936725132633
p7_I,2.3758754256034017e-07,36.41611929055857,0.005043986437143288,0.1053043013899744,0.0077190143,0.039355767377579697
p7_K,5.417823430695643e-07,34.67468193630521,0.003957320640800918,0.02032225506715155,0.0,0.008093191902650822
p7_P,7.548906435054151e-39,184.63080216362414,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p7_QAGLNMV,2.0950544912350146e-11,55.90917005749077,0.00023323748842595413,0.03529560813512487,0.0014440836,0.012324309754013357
p7_S,1.5662600573342497e-22,108.43899500789388,0.0015913792905628138,0.07753572084508946,0.0010705733,0.026732557826515884
p8_E,1.0398471787017057e-19,95.18706694810224,0.0117809351729013,0.05189294442318167,0.009824736,0.02449953854663127
p8_N,3.767593407178237e-38,181.38042546372313,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p8_S,1.4949517637806762e-61,290.0789473684199,1.0,0.10122324987516208,1.0,0.7004077499583875
p8_Y,8.475075653154597e-09,43.4177857216988,0.0013246934213315491,0.1844097004308772,0.00092056836,0.06221832073740816
p9_I,2.7501719965060975e-45,214.57894736842024,1.0,0.10122324987516208,1.0,0.7004077499583875
p9_LVTAMY,1.0802546060265458e-07,38.077114334537065,0.0,0.011454325965971235,0.0024723008,0.0046422089156361035
p10_HWTLV,1.9471678386081224e-10,51.28392502896696,0.0,0.04480273010001486,0.00063341926,0.015145383119511623
p10_Y,6.461866066921689e-07,34.30179503926903,1.0,0.10122324987516208,1.0,0.7004077499583875
p11_L,7.667442412583099e-80,374.8168729477127,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p11_T,3.9978272357101e-58,274.1842105263147,1.0,0.10122324987516208,1.0,0.7004077499583875
p11_V,6.031493084799082e-40,189.73879187292317,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p12_P,4.7879740276990694e-29,138.92792346322443,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p13_GAP,6.758538551246796e-45,212.76382856138315,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p13_I,2.9561971652091207e-31,149.24396235842715,0.7275042282039994,0.09508512652692436,0.520508,0.44769911534828605
p13_L,6.4815759618267565e-09,43.978664908325776,0.005043986437143288,0.1053043013899744,0.0077190143,0.039355767377579697
p13_M,4.373310805375231e-27,129.76428925101655,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p14_GAP,9.710109574032621e-57,267.7571150670319,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p14_VTIAG,1.2492556122560431e-48,230.11121207726538,0.7275042282039994,0.09508512652692436,0.520508,0.44769911534828605
p14_Y,2.953497668391424e-60,284.07041251777986,1.0,0.10122324987516208,1.0,0.7004077499583875
p15_K,7.011157445050702e-48,226.6310884387101,0.0011348991503829396,0.0690614899034127,0.0014002025,0.023865530522178907
p15_N,2.340235004977518e-13,65.1956318350395,0.017885136879519335,0.05831419768841086,0.07817963,0.05145965407495562
p15_Q,1.8499323620045117e-24,117.47368421052587,0.008892942850736826,0.03488541947164451,0.0,0.014592787440793778
