,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6701,0.9356,0.6498,0.6882,0.661,0.6271,0.632,0.052
gbc,Gradient Boosting Classifier,0.6637,0.9342,0.6459,0.6883,0.6579,0.6202,0.6244,0.278
lr,Logistic Regression,0.6681,0.941,0.6522,0.6777,0.6572,0.6247,0.6288,0.037
ridge,Ridge Classifier,0.6616,0.0,0.6462,0.6772,0.6532,0.6177,0.6215,0.004
xgboost,Extreme Gradient Boosting,0.6617,0.9344,0.6429,0.6787,0.6516,0.6177,0.6225,0.245
dt,Decision Tree Classifier,0.6385,0.8321,0.6217,0.6581,0.6285,0.5922,0.5969,0.005
rf,Random Forest Classifier,0.6426,0.9203,0.6245,0.6579,0.6273,0.5953,0.601,0.057
et,Extra Trees Classifier,0.6405,0.8976,0.6232,0.6527,0.6256,0.5934,0.5991,0.051
svm,SVM - Linear Kernel,0.6319,0.0,0.6201,0.667,0.6093,0.584,0.5931,0.008
ada,Ada Boost Classifier,0.2917,0.6502,0.2075,0.1527,0.1659,0.1482,0.2194,0.022
