,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6573,0.9328,0.6355,0.6721,0.6444,0.6127,0.617,0.053
lr,Logistic Regression,0.6468,0.9356,0.6208,0.6779,0.6378,0.5996,0.6051,0.033
xgboost,Extreme Gradient Boosting,0.6488,0.9329,0.6271,0.6731,0.637,0.6028,0.608,0.247
gbc,Gradient Boosting Classifier,0.6361,0.9328,0.6106,0.6425,0.6239,0.5887,0.5927,0.259
dt,Decision Tree Classifier,0.6234,0.8255,0.6129,0.6589,0.6169,0.5757,0.5811,0.005
rf,Random Forest Classifier,0.634,0.919,0.6134,0.6392,0.6155,0.5855,0.5904,0.056
ridge,Ridge Classifier,0.6256,0.0,0.6009,0.6483,0.6136,0.576,0.5819,0.004
et,Extra Trees Classifier,0.6128,0.8957,0.6026,0.6304,0.6012,0.5634,0.5677,0.049
svm,SVM - Linear Kernel,0.5792,0.0,0.5713,0.6089,0.5566,0.526,0.5352,0.007
ada,Ada Boost Classifier,0.2663,0.6713,0.2036,0.1325,0.1632,0.1474,0.1714,0.021
