,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6645,0.9301,0.6297,0.6936,0.6547,0.6202,0.6243,0.054
lr,Logistic Regression,0.6607,0.933,0.6193,0.6656,0.6455,0.6149,0.6192,0.046
gbc,Gradient Boosting Classifier,0.6566,0.9209,0.6206,0.6682,0.6443,0.6114,0.6156,0.285
xgboost,Extreme Gradient Boosting,0.6546,0.9289,0.6158,0.6636,0.6415,0.6088,0.6126,0.291
dt,Decision Tree Classifier,0.6466,0.8419,0.6062,0.657,0.6352,0.5997,0.6033,0.005
ridge,Ridge Classifier,0.6448,0.0,0.6066,0.6604,0.6275,0.5974,0.603,0.004
et,Extra Trees Classifier,0.6385,0.8934,0.604,0.6553,0.6255,0.5903,0.5949,0.049
svm,SVM - Linear Kernel,0.6229,0.0,0.5926,0.6668,0.615,0.5742,0.5799,0.008
rf,Random Forest Classifier,0.6247,0.917,0.5837,0.6252,0.6047,0.5738,0.5791,0.055
ada,Ada Boost Classifier,0.3334,0.7258,0.2734,0.2278,0.2501,0.2214,0.2441,0.023
