,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6534,0.9293,0.6374,0.6658,0.6438,0.6086,0.6118,0.269
lightgbm,Light Gradient Boosting Machine,0.6555,0.9328,0.6391,0.665,0.6426,0.6105,0.6144,0.056
lr,Logistic Regression,0.6554,0.9434,0.6347,0.666,0.6425,0.6099,0.6145,0.038
rf,Random Forest Classifier,0.647,0.9184,0.632,0.6476,0.632,0.6007,0.605,0.054
gbc,Gradient Boosting Classifier,0.6364,0.9178,0.6201,0.648,0.6242,0.5896,0.5932,0.272
ridge,Ridge Classifier,0.6321,0.0,0.6141,0.6509,0.6205,0.5835,0.5885,0.004
et,Extra Trees Classifier,0.6281,0.8881,0.6139,0.6283,0.6128,0.58,0.5845,0.051
dt,Decision Tree Classifier,0.6004,0.8093,0.5943,0.6125,0.594,0.5512,0.5537,0.005
svm,SVM - Linear Kernel,0.6108,0.0,0.5993,0.6346,0.5882,0.5615,0.5707,0.008
ada,Ada Boost Classifier,0.3313,0.7322,0.2767,0.2405,0.257,0.2259,0.2423,0.022
