,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6367,0.9291,0.6103,0.6516,0.623,0.5888,0.5935,0.036
xgboost,Extreme Gradient Boosting,0.6365,0.923,0.6106,0.6436,0.6218,0.5888,0.5937,0.26
lightgbm,Light Gradient Boosting Machine,0.6302,0.9268,0.6064,0.636,0.6149,0.5821,0.587,0.051
gbc,Gradient Boosting Classifier,0.6195,0.9176,0.5916,0.6342,0.6079,0.5698,0.5744,0.265
ridge,Ridge Classifier,0.6152,0.0,0.5902,0.6131,0.6018,0.5649,0.5686,0.004
svm,SVM - Linear Kernel,0.6155,0.0,0.5958,0.6433,0.5969,0.567,0.5744,0.008
rf,Random Forest Classifier,0.5984,0.9113,0.5768,0.6037,0.5847,0.5459,0.5501,0.054
et,Extra Trees Classifier,0.5962,0.8802,0.5813,0.6026,0.5817,0.5443,0.549,0.053
dt,Decision Tree Classifier,0.5878,0.806,0.5727,0.5951,0.5759,0.5356,0.5397,0.005
ada,Ada Boost Classifier,0.3359,0.7221,0.2896,0.2503,0.2508,0.232,0.2543,0.022
