,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6615,0.9392,0.6459,0.6829,0.6465,0.6186,0.6236,0.036
xgboost,Extreme Gradient Boosting,0.651,0.9388,0.6369,0.6655,0.6374,0.6071,0.6119,0.251
lightgbm,Light Gradient Boosting Machine,0.6468,0.9377,0.6297,0.6632,0.631,0.6022,0.6081,0.056
gbc,Gradient Boosting Classifier,0.6403,0.9347,0.6247,0.6632,0.6245,0.5954,0.6009,0.268
ridge,Ridge Classifier,0.6402,0.0,0.6239,0.6627,0.6237,0.5946,0.5998,0.004
et,Extra Trees Classifier,0.6234,0.8931,0.6096,0.6424,0.6099,0.576,0.5816,0.05
rf,Random Forest Classifier,0.6256,0.9174,0.6073,0.6461,0.6097,0.5779,0.5836,0.055
dt,Decision Tree Classifier,0.615,0.8131,0.6058,0.647,0.6022,0.5678,0.5726,0.005
svm,SVM - Linear Kernel,0.6149,0.0,0.6029,0.6583,0.6017,0.5669,0.5734,0.012
ada,Ada Boost Classifier,0.2938,0.6508,0.2288,0.1828,0.1836,0.1644,0.2202,0.025
