,feature,Light Gradient Boosting Machine,Ridge Classifier,Logistic Regression,mean_imp
0,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0
19,20,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.0,0.0
24,25,0.0,0.0,0.0,0.0
25,26,0.0,0.0,0.0,0.0
26,27,0.0,0.0,0.0,0.0
27,28,0.0,0.0,0.0,0.0
28,29,0.0,0.0,0.0,0.0
29,30,0.0,0.0,0.0,0.0
30,31,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0
32,33,0.0,0.0,0.0,0.0
33,34,0.0,0.0,0.0,0.0
34,35,0.0,0.0,0.0,0.0
35,36,0.0,0.0,0.0,0.0
36,37,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0
38,39,0.0,0.0,0.0,0.0
39,40,0.0,0.0,0.0,0.0
40,41,0.0,0.0,0.0,0.0
41,42,0.0,0.0,0.0,0.0
42,43,0.0,0.0,0.0,0.0
43,44,0.0,0.0,0.0,0.0
44,45,0.0,0.0,0.0,0.0
45,46,0.0,0.0,0.0,0.0
46,47,0.0,0.0,0.0,0.0
47,48,0.0,0.0,0.0,0.0
48,49,0.0,0.0,0.0,0.0
49,50,0.0,0.0,0.0,0.0
50,51,0.0,0.0,0.0,0.0
51,52,0.0,0.0,0.0,0.0
52,53,0.0,0.0,0.0,0.0
53,54,0.0,0.0,0.0,0.0
54,55,0.0,0.0,0.0,0.0
55,56,0.0,0.0,0.0,0.0
56,57,0.0,0.0,0.0,0.0
57,58,0.0,0.0,0.0,0.0
58,59,0.0,0.0,0.0,0.0
59,60,0.0,0.0,0.0,0.0
60,61,0.0,0.0,0.0,0.0
61,62,0.0,0.0,0.0,0.0
62,63,0.0,0.0,0.0,0.0
63,64,0.0,0.0,0.0,0.0
64,65,0.0,0.0,0.0,0.0
65,66,0.5319767441860465,0.8953157386432743,0.8351439011261512,0.7541454613184907
66,67,0.020348837209302327,0.10397797389096568,0.0741474154369997,0.06615807551242257
67,68,0.375,0.6410654289863452,0.6663761422498361,0.5608138570787271
68,69,0.3488372093023256,0.3963675528859628,0.4430623441493513,0.3960890354458799
69,70,0.45494186046511625,0.8515341752317271,0.7337940108768626,0.6800900155245687
70,71,0.26744186046511625,0.3491994094082084,0.4616719377003547,0.3594377358578931
71,72,0.0,0.0,0.0,0.0
72,73,0.0,0.0,0.0,0.0
73,74,0.0,0.0,0.0,0.0
74,75,0.020348837209302327,0.10397797389096568,0.0741474154369997,0.06615807551242257
75,76,0.26308139534883723,0.43096964757016487,0.43979505353408493,0.37794869881769566
76,77,0.23546511627906977,0.5101176981158784,0.4439734183856747,0.3965187442602076
77,78,0.38953488372093026,0.6043235006678942,0.5913571750233506,0.528405186470725
78,79,0.06395348837209303,0.06408826820043233,0.12049075957662095,0.08284417204971543
79,80,0.0,0.0,0.0,0.0
80,81,0.040697674418604654,0.20795594778193136,0.1482948308739994,0.13231615102484515
81,82,0.18459302325581395,0.3948710704870407,0.3343363861037998,0.3046001599488848
82,83,0.0,0.0,0.0,0.0
83,84,0.0,0.0,0.0,0.0
84,85,0.0,0.0,0.0,0.0
85,86,0.0,0.0,0.0,0.0
86,87,0.0,0.0,0.0,0.0
87,88,0.0,0.0,0.0,0.0
88,89,0.0,0.0,0.0,0.0
89,90,0.0,0.0,0.0,0.0
90,91,0.0,0.0,0.0,0.0
91,92,0.0,0.0,0.0,0.0
92,93,0.0,0.0,0.0,0.0
93,94,0.0,0.0,0.0,0.0
94,95,0.3691860465116279,0.5003455267769285,0.5172097595863511,0.46224711095830245
95,96,0.19476744186046513,0.3021617503339471,0.2956785875116753,0.2642025932353625
96,97,0.10901162790697674,0.3367638450181492,0.292411296896409,0.24606225660717831
97,98,0.502906976744186,0.6603678313310383,0.7210632422005337,0.6281126834252527
98,99,0.3793604651162791,0.8450768217753686,0.5892370287293445,0.6045581052069974
99,100,0.10319767441860465,0.38447492520217247,0.27066696328717726,0.25277985430265143
100,101,0.22819767441860464,0.5599845454064009,0.42164126027955245,0.403274493368186
101,102,0.0,0.0,0.0,0.0
102,103,0.0,0.0,0.0,0.0
103,104,0.0,0.0,0.0,0.0
104,105,0.0,0.0,0.0,0.0
105,106,0.0,0.0,0.0,0.0
106,107,0.0,0.0,0.0,0.0
107,108,0.0,0.0,0.0,0.0
108,109,0.0,0.0,0.0,0.0
109,110,0.0,0.0,0.0,0.0
110,111,0.23255813953488372,0.23734874746804435,0.32199803291064655,0.2639683066378582
111,112,0.5276162790697675,0.5929848232441742,0.7130308141167349,0.6112106388102255
112,113,0.438953488372093,0.7591151744296585,0.7877290707035067,0.6619325778350861
113,114,0.21511627906976744,0.40613972422491273,0.369826002948675,0.3303606687477851
114,115,0.11482558139534883,0.3733598945023867,0.3161251180738949,0.2681035313238768
115,116,0.13372093023255813,0.5104635822270941,0.4758580910279443,0.3733475344958655
116,117,0.19476744186046513,0.3021617503339471,0.2956785875116753,0.2642025932353625
117,118,0.040697674418604654,0.20795594778193136,0.1482948308739994,0.13231615102484515
118,119,0.251453488372093,0.46010739927877287,0.4346378643872368,0.38206625067936756
119,120,0.4375,0.5077919673112666,0.6681533436273941,0.5378151036462202
120,121,0.3488372093023256,0.3963675528859628,0.4430623441493513,0.3960890354458799
121,122,0.21511627906976744,0.40613972422491273,0.369826002948675,0.3303606687477851
122,123,0.8909883720930233,0.6234794955691285,0.8828264920872685,0.7990981199164734
123,124,0.42005813953488375,0.3407572199228701,0.5656727534765713,0.4421627043114417
124,125,0.020348837209302327,0.10397797389096568,0.0741474154369997,0.06615807551242257
125,126,0.45058139534883723,0.7109982294963221,0.6696259636765182,0.6104018628405591
126,127,0.04796511627906977,0.3007935339314866,0.21826557073295563,0.18900807364783734
127,128,0.502906976744186,0.6885317991689264,0.6861767001606357,0.625871825357916
128,129,0.0,0.0,0.0,0.0
129,130,0.3328488372093023,0.5640897213551591,0.6664373185550247,0.5211252923731621
130,131,0.38953488372093026,0.5221807235917675,0.5905033890464665,0.5007396654530547
131,132,0.0,0.0,0.0,0.0
132,133,0.0,0.0,0.0,0.0
133,134,0.1744186046511628,0.1981837764429814,0.22153117207467565,0.19804451772293996
134,135,0.020348837209302327,0.10397797389096568,0.0741474154369997,0.06615807551242257
135,136,0.5668604651162791,0.7449133721248145,0.8992217723761033,0.7369985365390656
136,137,0.061046511627906974,0.3119339216728971,0.22244224631099904,0.19847422653726768
137,138,0.020348837209302327,0.10397797389096568,0.0741474154369997,0.06615807551242257
138,139,0.5130813953488372,0.7806945799773664,0.6710910464688113,0.6549556739316716
139,140,0.626453488372093,0.6954638295844596,0.6011242002140184,0.6410138393901903
140,141,0.40988372093023256,0.7083014745588598,0.6655045904603504,0.5945632619831476
141,142,0.0,0.0,0.0,0.0
142,143,0.0,0.0,0.0,0.0
143,144,0.040697674418604654,0.20795594778193136,0.1482948308739994,0.13231615102484515
144,145,0.0,0.0,0.0,0.0
