,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6228,0.9207,0.5933,0.6429,0.6106,0.5751,0.5798,0.056
ridge,Ridge Classifier,0.6189,0.0,0.5848,0.6182,0.5991,0.5706,0.5752,0.004
lr,Logistic Regression,0.6129,0.9247,0.5783,0.6181,0.594,0.5634,0.5685,0.043
et,Extra Trees Classifier,0.6068,0.8705,0.5798,0.6088,0.5887,0.5568,0.562,0.05
gbc,Gradient Boosting Classifier,0.6028,0.9141,0.5686,0.6122,0.5872,0.5523,0.5571,0.301
xgboost,Extreme Gradient Boosting,0.5929,0.9169,0.5634,0.6056,0.5806,0.5416,0.5455,0.347
rf,Random Forest Classifier,0.5869,0.907,0.5574,0.5954,0.5704,0.5341,0.5399,0.057
dt,Decision Tree Classifier,0.577,0.8087,0.5543,0.5912,0.5638,0.5248,0.5292,0.005
svm,SVM - Linear Kernel,0.561,0.0,0.5487,0.5957,0.5498,0.5076,0.5155,0.008
ada,Ada Boost Classifier,0.2755,0.6091,0.2083,0.1297,0.1584,0.1423,0.1916,0.025
