	Opsin_Class
Bovine	7
S1	7
S2	7
S3	4
S4	6
S5	6
S6	5
S7	4
S8	5
S9	5
S10	6
S11	6
S12	6
S13	6
S14	6
S15	5
S16	7
S17	5
S18	5
S19	6
S20	7
S21	7
S22	6
S23	5
S24	7
S25	8
S26	6
S27	7
S28	6
S29	8
S30	7
S31	5
S32	6
S33	7
S34	4
S35	5
S36	7
S37	5
S38	5
S39	7
S40	6
S41	8
S42	6
S43	6
S44	7
S45	5
S46	5
S47	4
S48	6
S49	6
S50	6
S51	6
S52	6
S53	6
S54	6
S55	5
S56	6
S57	6
S58	7
S59	7
S60	6
S61	7
S62	7
S63	5
S64	6
S65	6
S66	6
S67	5
S68	5
S69	6
S70	7
S71	5
S72	7
S73	7
S74	7
S75	6
S76	7
S77	7
S78	7
S79	7
S80	4
S81	7
S82	7
S83	7
S84	6
S85	4
S86	4
S87	4
S88	4
S89	6
S90	4
S91	9
S92	5
S93	5
S94	8
S95	4
S96	5
S97	4
S98	8
S99	5
S100	7
S101	5
S102	6
S103	4
S104	5
S105	4
S106	4
S107	4
S108	6
S109	9
S110	7
S111	8
S112	4
S113	8
S114	5
S115	5
S116	4
S117	8
S118	7
S119	5
S120	5
S121	7
S122	5
S123	6
S124	5
S125	5
S126	5
S127	7
S128	8
S129	6
S130	6
S131	6
S132	6
S133	7
S134	5
S135	7
S136	4
S137	7
S138	5
S139	9
S140	9
S141	5
S142	7
S143	4
S144	5
S145	5
S146	7
S147	6
S148	6
S149	5
S150	7
S151	4
S152	6
S153	5
S154	5
S155	4
S156	4
S157	5
S158	4
S159	6
S160	6
S161	5
S162	6
S163	5
S164	4
S165	6
S166	8
S167	8
S168	4
S169	4
S170	3
S171	3
S172	4
S173	6
S174	5
S175	4
S176	5
S177	6
S178	6
S179	5
S180	4
S181	5
S182	4
S183	4
S184	5
S185	8
S186	4
S187	4
S188	3
S189	4
S190	4
S191	4
S192	4
S193	4
S194	4
S195	4
S196	4
S197	9
S198	7
S199	9
S200	9
S201	9
S202	3
S203	3
S204	3
S205	4
S206	3
S207	6
S208	7
S209	6
S210	6
S211	8
S212	7
S213	6
S214	7
S215	7
S216	7
S217	7
S218	7
S219	7
S220	7
S221	7
S222	6
S223	6
S224	7
S225	0
S226	0
S227	3
S228	0
S229	0
S230	0
S231	2
S232	0
S233	2
S234	1
S235	2
S236	0
S237	0
S238	3
S239	3
S240	2
S241	3
S242	5
S243	5
S244	4
S245	7
S246	6
S247	7
S248	4
S249	3
S250	3
S251	3
S252	3
S253	7
S254	8
S255	8
S256	9
S257	8
S258	8
S259	5
S260	7
S261	8
S262	4
S263	7
S264	7
S265	7
S266	8
S267	7
S268	7
S269	7
S270	5
S271	8
S272	8
S273	6
S274	4
S275	7
S276	8
S277	8
S278	0
S279	3
S280	0
S281	2
S282	2
S283	1
S284	3
S285	0
S286	0
S287	3
S288	3
S289	3
S290	3
S291	3
S292	9
S293	9
S294	9
S295	9
S296	9
S297	9
S298	9
S299	9
S300	8
S301	8
S302	8
S303	9
S304	9
S305	9
S306	9
S307	8
S308	9
S309	4
S310	4
S311	0
S312	0
S313	2
S314	2
S315	1
S316	1
S317	2
S318	1
S319	1
S320	2
S321	0
S322	0
S323	9
S324	0
S325	9
S326	9
S327	9
S328	8
S329	9
S330	8
S331	4
S332	3
S333	2
S334	0
S335	7
S336	0
S337	3
S338	6
S339	5
S340	3
S341	0
S342	2
S343	2
S344	0
S345	0
S346	1
S347	0
S348	1
S349	1
S350	1
S351	2
S352	3
S353	1
S354	8
S355	8
S356	7
S357	6
S358	2
S359	3
S360	2
S361	3
S362	2
S363	5
S364	5
S365	5
S366	7
S367	5
S368	3
S369	4
S370	1
S371	4
S372	4
S373	4
S374	4
S375	4
S376	4
S377	9
S378	7
S379	6
S380	2
S381	3
S382	4
S383	4
S384	9
S385	7
S386	3
S387	0
S388	0
S389	3
S390	3
S391	3
S392	8
S393	5
S394	3
S395	8
S396	6
S397	3
S398	9
S399	4
S400	4
S401	8
S402	5
S403	3
S404	9
S405	5
S406	3
S407	9
S408	6
S409	6
S410	8
S411	8
S412	8
S413	8
S414	8
S415	8
S416	8
S417	8
S418	8
S419	8
S420	8
S421	8
S422	8
S423	8
S424	8
S425	8
S426	8
S427	8
S428	8
S429	4
S430	3
S431	3
S432	3
S433	4
S434	2
S435	3
S436	4
S437	3
S438	2
S439	3
S440	2
S441	3
S442	2
S443	2
S444	3
S445	2
S446	2
S447	2
S448	2
S449	2
S450	2
S451	2
S452	2
S453	2
S454	2
S455	2
S456	2
S457	3
S458	3
S459	3
S460	3
S461	3
S462	3
S463	3
S464	3
S465	3
S466	3
S467	5
S468	4
S469	4
S470	6
S471	3
S472	4
S473	4
S474	5
S475	8
S476	9
S477	9
S478	4
S479	3
S480	1
S481	8
S482	8
S483	7
S484	3
S485	8
S486	8
S487	5
S488	8
S489	4
S490	8
S491	5
S492	8
S493	9
S494	8
S495	8
S496	8
S497	8
S498	8
S499	7
S500	5
S501	5
S502	5
S503	5
S504	8
S505	5
S506	5
S507	4
S508	9
S509	5
S510	6
S511	6
S512	6
S513	7
S514	4
S515	6
S516	6
S517	8
S518	5
S519	4
S520	6
S521	1
S522	0
S523	0
S524	0
S525	0
S526	2
S527	0
S528	0
S529	1
S530	1
S531	1
S532	1
S533	1
S534	2
S535	2
S536	2
S537	2
S538	0
S539	1
S540	0
S541	2
S542	0
S543	1
S544	1
S545	1
S546	1
S547	1
S548	1
S549	1
S550	0
S551	2
S552	2
S553	1
S554	0
S555	2
S556	0
S557	0
S558	0
S559	2
S560	2
S561	2
S562	2
S563	3
S564	3
S565	0
S566	1
S567	2
S568	2
S569	2
S570	2
S571	2
S572	0
S573	1
S574	2
S575	2
S576	2
S577	3
