	Opsin_Class
Bovine	9
S1	10
S2	10
S3	6
S4	8
S5	8
S6	7
S7	6
S8	7
S9	7
S10	9
S11	8
S12	9
S13	8
S14	9
S15	8
S16	10
S17	7
S18	7
S19	9
S20	10
S21	9
S22	9
S23	7
S24	10
S25	11
S26	8
S27	9
S28	9
S29	11
S30	9
S31	7
S32	9
S33	10
S34	6
S35	7
S36	10
S37	7
S38	7
S39	11
S40	9
S41	11
S42	9
S43	9
S44	9
S45	7
S46	8
S47	6
S48	8
S49	9
S50	8
S51	9
S52	8
S53	8
S54	8
S55	7
S56	9
S57	8
S58	9
S59	9
S60	8
S61	9
S62	9
S63	7
S64	9
S65	8
S66	8
S67	8
S68	7
S69	9
S70	9
S71	7
S72	9
S73	11
S74	10
S75	8
S76	10
S77	10
S78	10
S79	10
S80	6
S81	10
S82	10
S83	10
S84	8
S85	6
S86	6
S87	6
S88	6
S89	8
S90	6
S91	13
S92	7
S93	8
S94	11
S95	6
S96	7
S97	6
S98	11
S99	7
S100	10
S101	7
S102	9
S103	6
S104	7
S105	6
S106	6
S107	6
S108	9
S109	13
S110	10
S111	11
S112	6
S113	11
S114	7
S115	7
S116	6
S117	12
S118	11
S119	7
S120	7
S121	10
S122	7
S123	8
S124	7
S125	8
S126	7
S127	10
S128	11
S129	8
S130	9
S131	9
S132	8
S133	10
S134	7
S135	10
S136	6
S137	9
S138	7
S139	12
S140	14
S141	7
S142	10
S143	6
S144	7
S145	8
S146	10
S147	9
S148	8
S149	7
S150	10
S151	6
S152	8
S153	7
S154	7
S155	6
S156	6
S157	7
S158	5
S159	8
S160	8
S161	8
S162	8
S163	7
S164	6
S165	8
S166	12
S167	12
S168	5
S169	6
S170	5
S171	5
S172	6
S173	8
S174	7
S175	6
S176	8
S177	8
S178	8
S179	8
S180	6
S181	7
S182	5
S183	5
S184	7
S185	11
S186	5
S187	5
S188	5
S189	5
S190	5
S191	5
S192	6
S193	5
S194	6
S195	6
S196	6
S197	13
S198	10
S199	14
S200	14
S201	13
S202	5
S203	5
S204	5
S205	5
S206	5
S207	9
S208	9
S209	9
S210	9
S211	11
S212	9
S213	9
S214	10
S215	10
S216	9
S217	10
S218	9
S219	10
S220	10
S221	10
S222	9
S223	9
S224	9
S225	0
S226	0
S227	4
S228	0
S229	0
S230	1
S231	2
S232	0
S233	3
S234	1
S235	3
S236	0
S237	0
S238	4
S239	4
S240	4
S241	4
S242	7
S243	7
S244	6
S245	10
S246	9
S247	10
S248	5
S249	5
S250	5
S251	5
S252	14
S253	13
S254	13
S255	13
S256	13
