	Opsin_Class
Bovine	9
S1	11
S2	11
S3	1
S4	6
S5	6
S6	5
S7	3
S8	4
S9	4
S10	8
S11	6
S12	8
S13	7
S14	8
S15	5
S16	10
S17	3
S18	3
S19	8
S20	11
S21	9
S22	7
S23	3
S24	10
S25	12
S26	7
S27	9
S28	8
S29	12
S30	9
S31	4
S32	8
S33	11
S34	2
S35	3
S36	10
S37	3
S38	5
S39	11
S40	8
S41	12
S42	8
S43	8
S44	9
S45	4
S46	5
S47	1
S48	7
S49	7
S50	7
S51	8
S52	6
S53	6
S54	7
S55	5
S56	8
S57	7
S58	9
S59	9
S60	6
S61	9
S62	9
S63	5
S64	7
S65	6
S66	6
S67	5
S68	4
S69	8
S70	9
S71	5
S72	9
S73	11
S74	11
S75	6
S76	10
S77	10
S78	10
S79	10
S80	2
S81	11
S82	10
S83	11
S84	7
S85	2
S86	3
S87	3
S88	2
S89	7
S90	2
S91	14
S92	4
S93	5
S94	12
S95	3
S96	5
S97	1
S98	12
S99	4
S100	11
S101	5
S102	8
S103	1
S104	3
S105	3
S106	2
S107	2
S108	7
S109	14
S110	10
S111	12
S112	2
S113	12
S114	4
S115	4
S116	1
S117	13
S118	11
S119	3
S120	3
S121	10
S122	3
S123	6
S124	5
S125	5
S126	4
S127	10
S128	12
S129	7
S130	8
S131	8
S132	6
S133	10
S134	4
S135	11
S136	2
S137	9
S138	4
S139	4
S140	10
S141	2
S142	4
S143	5
S144	10
S145	8
S146	6
S147	5
S148	10
S149	2
S150	6
S151	3
S152	3
S153	2
S154	2
S155	4
S156	0
S157	7
S158	7
S159	5
S160	7
S161	3
S162	1
S163	7
S164	13
S165	13
S166	0
S167	1
S168	0
S169	0
S170	1
S171	7
S172	5
S173	2
S174	5
S175	6
S176	6
S177	5
S178	1
S179	4
S180	0
S181	0
S182	3
S183	12
S184	0
S185	0
S186	0
S187	0
S188	0
S189	0
S190	1
S191	0
S192	1
S193	1
S194	1
S195	14
S196	14
S197	8
S198	9
S199	7
S200	8
S201	12
S202	9
S203	7
S204	10
S205	11
S206	9
S207	10
S208	9
S209	11
S210	11
S211	10
S212	8
S213	8
S214	9
S215	4
S216	3
S217	2
S218	10
S219	8
S220	11
S221	11
S222	13
S223	13
S224	14
S225	13
S226	13
S227	5
S228	11
S229	12
S230	2
S231	11
S232	11
S233	9
S234	12
S235	11
S236	11
S237	11
S238	3
S239	13
S240	12
S241	7
S242	0
S243	11
S244	12
S245	12
S246	12
S247	12
S248	11
S249	8
S250	1
S251	2
S252	3
S253	3
S254	2
S255	1
S256	9
S257	8
S258	3
S259	1
S260	11
S261	0
S262	0
S263	14
S264	5
S265	0
S266	14
S267	6
S268	0
S269	14
S270	3
S271	1
S272	14
S273	5
S274	0
S275	14
S276	5
S277	0
S278	14
S279	6
S280	6
S281	14
S282	12
S283	13
S284	12
S285	12
S286	13
S287	12
S288	12
S289	14
S290	14
S291	13
S292	14
S293	14
S294	14
S295	14
S296	13
S297	13
S298	13
S299	14
S300	1
S301	0
S302	0
S303	0
S304	3
S305	2
S306	1
S307	8
S308	0
S309	0
S310	1
S311	3
S312	12
S313	14
S314	14
S315	2
S316	11
S317	12
S318	12
S319	5
S320	12
S321	3
S322	12
S323	3
S324	12
S325	12
S326	12
S327	12
S328	13
S329	11
S330	3
S331	5
S332	5
S333	4
S334	12
S335	3
S336	4
S337	1
S338	14
S339	3
S340	8
S341	7
S342	7
S343	9
S344	1
S345	7
S346	6
S347	13
S348	5
S349	2
S350	8
S351	8
S352	11
S353	8
S354	9
S355	8
S356	2
S357	2
S358	2
S359	2
S360	2
S361	6
S362	4
