	Opsin_Class
Bovine	6
S1	7
S2	7
S3	1
S4	4
S5	4
S6	3
S7	2
S8	3
S9	3
S10	5
S11	4
S12	5
S13	4
S14	5
S15	3
S16	6
S17	2
S18	2
S19	5
S20	7
S21	6
S22	5
S23	2
S24	6
S25	8
S26	4
S27	6
S28	5
S29	8
S30	6
S31	3
S32	5
S33	7
S34	1
S35	2
S36	6
S37	2
S38	3
S39	7
S40	5
S41	8
S42	5
S43	5
S44	6
S45	3
S46	3
S47	1
S48	4
S49	5
S50	4
S51	5
S52	4
S53	4
S54	4
S55	3
S56	5
S57	4
S58	6
S59	6
S60	4
S61	6
S62	6
S63	3
S64	5
S65	4
S66	4
S67	3
S68	2
S69	5
S70	6
S71	3
S72	6
S73	7
S74	7
S75	4
S76	6
S77	6
S78	6
S79	6
S80	1
S81	7
S82	6
S83	7
S84	4
S85	1
S86	2
S87	2
S88	1
S89	4
S90	1
S91	9
S92	2
S93	3
S94	8
S95	2
S96	3
S97	1
S98	8
S99	2
S100	7
S101	3
S102	5
S103	1
S104	2
S105	2
S106	1
S107	1
S108	5
S109	9
S110	6
S111	8
S112	1
S113	8
S114	3
S115	2
S116	1
S117	9
S118	7
S119	2
S120	2
S121	6
S122	2
S123	4
S124	3
S125	3
S126	3
S127	6
S128	8
S129	4
S130	5
S131	5
S132	4
S133	6
S134	3
S135	7
S136	1
S137	6
S138	2
S139	2
S140	6
S141	1
S142	2
S143	3
S144	6
S145	5
S146	4
S147	3
S148	6
S149	1
S150	4
S151	2
S152	2
S153	1
S154	1
S155	3
S156	0
S157	4
S158	4
S159	3
S160	4
S161	2
S162	1
S163	4
S164	9
S165	9
S166	0
S167	1
S168	0
S169	0
S170	0
S171	4
S172	3
S173	1
S174	3
S175	4
S176	4
S177	3
S178	0
S179	2
S180	0
S181	0
S182	2
S183	8
S184	0
S185	0
S186	0
S187	0
S188	0
S189	0
S190	0
S191	0
S192	0
S193	0
S194	0
S195	9
S196	9
S197	5
S198	6
S199	5
S200	5
S201	8
S202	6
S203	5
S204	6
S205	7
S206	6
S207	6
S208	6
S209	7
S210	7
S211	6
S212	5
S213	5
S214	6
S215	2
S216	2
S217	1
S218	6
S219	5
S220	7
S221	7
S222	9
S223	9
S224	9
S225	9
S226	9
S227	3
S228	7
S229	8
S230	1
S231	7
S232	7
S233	6
S234	8
S235	7
S236	7
S237	7
S238	2
S239	9
S240	8
S241	4
S242	0
S243	7
S244	8
S245	8
S246	8
S247	8
S248	7
S249	5
S250	1
S251	1
S252	2
S253	2
S254	1
S255	1
S256	6
S257	5
S258	2
S259	1
S260	7
S261	0
S262	0
S263	9
S264	3
S265	0
S266	9
S267	4
S268	0
S269	9
S270	2
S271	0
S272	9
S273	3
S274	0
S275	9
S276	3
S277	0
S278	9
S279	4
S280	4
S281	9
S282	8
S283	9
S284	8
S285	8
S286	9
S287	8
S288	8
S289	9
S290	9
S291	9
S292	9
S293	9
S294	9
S295	9
S296	9
S297	9
S298	9
S299	9
S300	0
S301	0
S302	0
S303	0
S304	2
S305	1
S306	1
S307	5
S308	0
S309	0
S310	1
S311	2
S312	8
S313	9
S314	9
S315	1
S316	7
S317	8
S318	8
S319	3
S320	8
S321	2
S322	8
S323	2
S324	8
S325	8
S326	8
S327	8
S328	8
S329	7
S330	2
S331	3
S332	3
S333	2
S334	8
S335	2
S336	2
S337	0
S338	9
S339	2
S340	5
S341	5
S342	4
S343	6
S344	1
S345	4
S346	4
S347	9
S348	3
S349	1
S350	5
S351	5
S352	7
S353	5
S354	6
S355	5
S356	1
S357	1
S358	1
S359	1
S360	1
S361	4
S362	3
