,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6847,0.9299,0.6539,0.703,0.6731,0.6435,0.6479,0.28
lightgbm,Light Gradient Boosting Machine,0.6687,0.9304,0.6357,0.6799,0.6535,0.625,0.6293,0.063
lr,Logistic Regression,0.6647,0.9254,0.6322,0.6867,0.6479,0.6198,0.6256,0.04
dt,Decision Tree Classifier,0.6547,0.8326,0.6304,0.682,0.6422,0.6097,0.6137,0.005
gbc,Gradient Boosting Classifier,0.6527,0.9231,0.6217,0.6706,0.6386,0.6077,0.6118,0.299
ridge,Ridge Classifier,0.6507,0.0,0.6202,0.6744,0.6367,0.6042,0.6096,0.004
et,Extra Trees Classifier,0.6427,0.8893,0.6175,0.6669,0.6299,0.5953,0.5996,0.048
rf,Random Forest Classifier,0.6407,0.9174,0.6113,0.6578,0.6211,0.5921,0.5974,0.055
svm,SVM - Linear Kernel,0.6028,0.0,0.5829,0.6512,0.5922,0.5534,0.5602,0.009
ada,Ada Boost Classifier,0.3651,0.7466,0.3229,0.2903,0.2997,0.2711,0.2863,0.023
