,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6699,0.9326,0.6493,0.679,0.6588,0.6261,0.63,0.056
xgboost,Extreme Gradient Boosting,0.6593,0.9321,0.6425,0.6737,0.6493,0.6143,0.6177,0.249
gbc,Gradient Boosting Classifier,0.6613,0.9293,0.6424,0.6672,0.6487,0.6168,0.6204,0.264
ridge,Ridge Classifier,0.6551,0.0,0.6331,0.6675,0.6433,0.6089,0.6129,0.004
lr,Logistic Regression,0.6465,0.9352,0.6239,0.6583,0.6346,0.5992,0.6034,0.036
rf,Random Forest Classifier,0.6423,0.9183,0.6226,0.641,0.6265,0.5945,0.5986,0.055
dt,Decision Tree Classifier,0.632,0.8392,0.6172,0.6511,0.6262,0.585,0.5879,0.005
et,Extra Trees Classifier,0.6211,0.8968,0.6025,0.6436,0.6122,0.571,0.5746,0.052
svm,SVM - Linear Kernel,0.6257,0.0,0.609,0.6398,0.6058,0.5777,0.5843,0.008
ada,Ada Boost Classifier,0.2833,0.7018,0.2265,0.1878,0.2003,0.1741,0.1963,0.021
