,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6447,0.9367,0.6148,0.6586,0.6342,0.5981,0.602,0.324
gbc,Gradient Boosting Classifier,0.6426,0.9261,0.6148,0.6622,0.6335,0.5961,0.5996,0.301
lr,Logistic Regression,0.6366,0.9335,0.6062,0.6542,0.6254,0.5884,0.593,0.045
lightgbm,Light Gradient Boosting Machine,0.6347,0.9372,0.6028,0.6571,0.6241,0.5869,0.5908,0.06
dt,Decision Tree Classifier,0.6187,0.8181,0.5949,0.6367,0.6071,0.5701,0.5743,0.005
ridge,Ridge Classifier,0.6088,0.0,0.5755,0.6264,0.5989,0.557,0.5612,0.004
et,Extra Trees Classifier,0.6127,0.8878,0.5924,0.6144,0.5972,0.5616,0.5662,0.052
rf,Random Forest Classifier,0.6007,0.9139,0.5729,0.607,0.586,0.5471,0.5517,0.057
svm,SVM - Linear Kernel,0.5648,0.0,0.5509,0.6175,0.5549,0.5101,0.5183,0.009
ada,Ada Boost Classifier,0.3114,0.6162,0.2356,0.1947,0.1951,0.1788,0.2334,0.024
