,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6505,0.9292,0.625,0.6638,0.6366,0.6056,0.6102,0.057
lr,Logistic Regression,0.6487,0.9267,0.6222,0.6595,0.6319,0.6032,0.6085,0.041
xgboost,Extreme Gradient Boosting,0.6386,0.921,0.611,0.6488,0.6251,0.5924,0.5965,0.303
ridge,Ridge Classifier,0.6308,0.0,0.606,0.6423,0.616,0.5823,0.587,0.004
gbc,Gradient Boosting Classifier,0.6266,0.9114,0.6003,0.6297,0.6099,0.5793,0.5837,0.3
svm,SVM - Linear Kernel,0.6249,0.0,0.6055,0.6502,0.6072,0.5776,0.5848,0.008
rf,Random Forest Classifier,0.6246,0.9075,0.5977,0.6325,0.6047,0.575,0.5803,0.061
et,Extra Trees Classifier,0.6127,0.8851,0.5907,0.6245,0.5965,0.5629,0.5675,0.05
dt,Decision Tree Classifier,0.6008,0.8102,0.5767,0.6147,0.5909,0.5501,0.5537,0.005
ada,Ada Boost Classifier,0.2914,0.632,0.2298,0.1631,0.1772,0.1655,0.204,0.024
