,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6566,0.9342,0.6385,0.6804,0.648,0.6123,0.6163,0.285
lightgbm,Light Gradient Boosting Machine,0.6507,0.9332,0.6322,0.6797,0.6448,0.6058,0.6093,0.058
lr,Logistic Regression,0.6449,0.9293,0.619,0.6665,0.6337,0.5976,0.6029,0.043
gbc,Gradient Boosting Classifier,0.6387,0.9249,0.6194,0.6637,0.6304,0.5918,0.5957,0.305
dt,Decision Tree Classifier,0.6267,0.8211,0.6084,0.653,0.6199,0.5797,0.5836,0.005
et,Extra Trees Classifier,0.6227,0.8929,0.6063,0.6448,0.6126,0.5735,0.5776,0.055
ridge,Ridge Classifier,0.6189,0.0,0.5959,0.636,0.609,0.569,0.573,0.004
rf,Random Forest Classifier,0.6169,0.9191,0.5972,0.6272,0.6034,0.5662,0.5709,0.055
svm,SVM - Linear Kernel,0.5988,0.0,0.5787,0.6289,0.5881,0.5471,0.5525,0.009
ada,Ada Boost Classifier,0.2895,0.6233,0.222,0.1736,0.177,0.1452,0.229,0.023
