,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6574,0.93,0.6395,0.6742,0.645,0.6121,0.6169,0.036
xgboost,Extreme Gradient Boosting,0.6448,0.925,0.6219,0.6507,0.6322,0.5989,0.6025,0.241
lightgbm,Light Gradient Boosting Machine,0.6447,0.9261,0.6229,0.6493,0.6292,0.5983,0.6026,0.05
ridge,Ridge Classifier,0.6446,0.0,0.6273,0.6495,0.6269,0.5978,0.603,0.004
gbc,Gradient Boosting Classifier,0.6342,0.9209,0.6115,0.6402,0.6207,0.5866,0.5904,0.262
et,Extra Trees Classifier,0.6236,0.8905,0.6101,0.6299,0.6104,0.5744,0.5791,0.054
dt,Decision Tree Classifier,0.6107,0.8188,0.6012,0.6386,0.6064,0.5617,0.5652,0.005
rf,Random Forest Classifier,0.615,0.9138,0.5957,0.6108,0.5978,0.5641,0.5689,0.055
svm,SVM - Linear Kernel,0.5873,0.0,0.5919,0.6454,0.574,0.5378,0.5483,0.007
ada,Ada Boost Classifier,0.3467,0.7419,0.3069,0.2678,0.2612,0.2477,0.2726,0.022
