,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6554,0.9249,0.6289,0.6741,0.647,0.6095,0.614,0.254
gbc,Gradient Boosting Classifier,0.6533,0.9193,0.6322,0.6653,0.6407,0.6075,0.6115,0.258
dt,Decision Tree Classifier,0.6449,0.8338,0.6265,0.6626,0.6393,0.5991,0.6022,0.005
lr,Logistic Regression,0.6555,0.9371,0.6262,0.6575,0.6372,0.6089,0.6144,0.037
et,Extra Trees Classifier,0.6449,0.8941,0.6233,0.6499,0.6292,0.5973,0.6011,0.049
lightgbm,Light Gradient Boosting Machine,0.6386,0.9288,0.6167,0.6577,0.6279,0.5903,0.5948,0.046
rf,Random Forest Classifier,0.6279,0.9179,0.6029,0.6323,0.6113,0.5769,0.5816,0.053
ridge,Ridge Classifier,0.6193,0.0,0.5906,0.6279,0.6052,0.5679,0.5723,0.004
svm,SVM - Linear Kernel,0.6064,0.0,0.5909,0.6257,0.5834,0.5552,0.5637,0.008
ada,Ada Boost Classifier,0.2621,0.6983,0.2131,0.1716,0.192,0.1522,0.1649,0.022
