,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6326,0.9143,0.6061,0.6557,0.6213,0.585,0.5888,0.288
xgboost,Extreme Gradient Boosting,0.6287,0.9186,0.6045,0.6553,0.6174,0.5808,0.5852,0.292
lightgbm,Light Gradient Boosting Machine,0.6267,0.9246,0.6003,0.6492,0.6159,0.5785,0.5824,0.056
lr,Logistic Regression,0.6247,0.9261,0.5928,0.6481,0.613,0.5754,0.5799,0.046
rf,Random Forest Classifier,0.6127,0.9089,0.5803,0.6359,0.5985,0.5617,0.5664,0.057
dt,Decision Tree Classifier,0.6007,0.8124,0.5781,0.632,0.5945,0.5509,0.5547,0.005
et,Extra Trees Classifier,0.6048,0.8704,0.5825,0.6242,0.5932,0.5541,0.5584,0.051
ridge,Ridge Classifier,0.6088,0.0,0.5756,0.6244,0.5895,0.5566,0.5624,0.004
svm,SVM - Linear Kernel,0.5706,0.0,0.5597,0.6004,0.5538,0.5174,0.5257,0.008
ada,Ada Boost Classifier,0.3294,0.7177,0.271,0.2636,0.2567,0.2255,0.2436,0.025
