,Species,Opsin_Family,Accession,Lambda_Max,Prediction,Difference
S46,Paracyprichromis_nigripinnis,Rh1,AB458122.1,492.0,484.945778189138,-7.054221810861975
S122,Gallus_gallus,Rh1,D00702,503.0,506.90844398943415,3.908443989434147
S59,Conger_myriaster,Rh1,AB043817.1,486.0,494.23220362753904,8.232203627539036
S276,Chrysochroa_mniszechii,IV-UVS,OP722933.1,442.0,412.2522663750095,-29.747733624990474
S240,Carassius_auratus,LWS,L11865.1,511.0,510.7806760475612,-0.2193239524387991
S185,Carassius_auratus,SWS1,D85863,358.0,359.14819730640613,1.1481973064061322
S107,Phoca_groenlandicus,Rh1,AF055318,498.0,497.0838826631794,-0.916117336820605
S1,Neoniphon_sammara,Rh1,U57536.1,502.0,496.34815817645585,-5.651841823544146
S57,Rod_ancestor_pigmentj,Rh1,pigmentj,485.0,505.58897008236795,20.58897008236795
S112,Carassius_auratus,Rh1,L11863.1,492.0,501.64901945249625,9.649019452496248
S94,Gallus_gallus,SWS1,M92039.1,415.0,416.6848651917321,1.684865191732115
S282,lwsanc_pigmentb_sp.,LWS,lwsanc_pigmentb,563.0,561.3579926108907,-1.642007389109267
S247,AncAgnatha_sp.,Rh2,AncAgnatha,503.0,498.14369318523507,-4.856306814764935
S184,Cavia_porcellus,SWS1,AY552608,420.0,420.10920757192963,0.10920757192963038
S303,Physeter_catodon,Rh1,XM_007126220,482.0,477.33247213256954,-4.667527867430465
S27,Labidochromis_caeruleus,Rh1,AB084934.1,500.0,498.6546105013938,-1.3453894986062096
S50,Rod_ancestor_pigmentc,Rh1,pigmentc,501.0,499.7287525176969,-1.2712474823031243
S18,Cyphotilapia_frontosa,Rh1,AB084929.1,487.0,494.6541869541575,7.654186954157524
S254,AncEutelo2_sp.,Rh2,AncEutelo2,489.0,487.5872957966092,-1.4127042033907742
S140,Carassius_auratus,SWS2,L11864,443.0,441.82695997378323,-1.1730400262167677
S299,Macroglossum_stellatarum,IV-LWS,KF539444,532.0,537.0354811813988,5.035481181398836
S161,Neosciurus_carolinensis,LWS,AF132044,532.0,542.886330975891,10.886330975891042
S12,Altolamprologus_calvus,Rh1,AB458132.1,498.0,487.6525454514998,-10.347454548500195
S174,Poecilia_reticulata,RH2-1,LC127186,516.0,534.365396497315,18.365396497315032
S165,Eumaeus_atala,BRh1,MN831881.1,435.0,445.5541823375526,10.554182337552618
S115,Latimeria_chalumnae,Rh1,AH007712.2,485.0,485.6896894524159,0.6896894524159052
S297,Sympetrum_frequens,IV-LWS,LC009061,557.0,513.7621113312114,-43.23788866878863
S159,Odocoileus_virginianus,LWS,AF132041,531.0,532.4901578475271,1.4901578475271435
S43,Xenotilapia_papilio,Rh1,AB457996.1,497.0,493.03061815680996,-3.9693818431900354
S66,Lepidopus_fitchi,Rh1,EU407252.1,507.0,511.1939005396753,4.193900539675326
S200,Grus_americana,Rh1,KM508488,500.0,506.471190133069,6.471190133069001
S312,Saimiri_sciureus,LWS,AH006282,545.0,549.4151389995523,4.415138999552255
S117,Lithobates_pipiens,Rh1,S49004,502.0,483.16079739986196,-18.839202600138037
S283,lwsanc_pigmentc_sp.,LWS,lwsanc_pigmentc,561.0,567.0465582139143,6.046558213914295
S104,Globicephala_melas,Rh1,AF055315,488.0,488.07101160836646,0.07101160836646159
S133,Anolis_carolinensis,SWS1,AH007736.2,358.0,359.2337884683219,1.2337884683219045
S7,Sargocentron_xantherythrum,Rh1,U57546.1,486.0,488.1823055648071,2.182305564807109
S31,Perissodus_elaviae,Rh1,AB185230.1,490.0,496.12610112146535,6.126101121465354
S49,Rod_ancestor_pigmentb,Rh1,pigmentb,501.0,500.6691955199082,-0.33080448009178554
S221,Oryzias_celebensis,Rh2,LC260052,516.0,508.2574107484888,-7.74258925151122
S219,Oryzias_luzonensis,Rh2,LC260050,486.0,496.09793759701654,10.09793759701654
S14,Altolamprologus_calvus,Rh1,AB084924.1,499.0,491.08480151291815,-7.915198487081852
S264,swsanc3_sp.,UVS,swsanc3,359.0,366.66189854793134,7.661898547931344
S304,Ochotona_princeps,SWS1,XM_004592516,431.0,419.6777353646732,-11.322264635326803
S34,Trematocara_unimaculatum,Rh1,AB185238.1,484.0,498.27103364983157,14.271033649831566
S85,Cottus_gobio,SWS2,AJ430489.1,463.0,462.5601870906663,-0.439812909333682
S16,Bathybates_fasciatus,Rh1,AB185218.1,501.0,498.38328568269776,-2.6167143173022396
S25,Haplotaxodon_microlepis,Rh1,AB458142.1,504.0,492.0521383348906,-11.947861665109372
S284,lwsanc_pigmentd_sp.,LWS,lwsanc_pigmentd,558.0,555.6455587241794,-2.354441275820591
S87,Danio_rerio,SWS1,AB087810.1,355.0,369.9012804661222,14.901280466122216
