,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
lightgbm,Light Gradient Boosting Machine,11.8697,805.4442,22.859,0.8458,0.1228,0.0245,0.034
et,Extra Trees Regressor,12.0584,1306.1744,28.3413,0.7169,0.207,0.025,0.176
dt,Decision Tree Regressor,12.0596,1315.2796,28.2326,0.7156,0.207,0.0251,0.008
xgboost,Extreme Gradient Boosting,12.194,927.1142,25.1273,0.8158,0.1302,0.0254,0.268
rf,Random Forest Regressor,12.5116,925.6239,25.2913,0.8157,0.1292,0.026,0.17
br,Bayesian Ridge,12.6139,761.9404,21.9277,0.8577,0.121,0.0262,0.018
ridge,Ridge Regression,13.4329,846.7918,24.296,0.8319,0.1253,0.0278,0.408
huber,Huber Regressor,14.8705,980.7034,27.1457,0.7939,0.1313,0.0312,0.037
lasso,Lasso Regression,16.6334,913.64,25.8558,0.8137,0.1298,0.0354,0.007
par,Passive Aggressive Regressor,17.2152,1025.132,28.1204,0.7808,0.1334,0.0365,0.009
ada,AdaBoost Regressor,21.6527,1507.7823,35.27,0.6505,0.1603,0.0478,0.048
lr,Linear Regression,11765891929827.504,1.8958839259297985e+27,26992652579228.055,-5.9290917978252716e+23,13.96,25289364264.8969,1.28
lar,Least Angle Regression,9.361678268959579e+33,3.1127394495685845e+69,2.2229661600033855e+34,-9.141407192773477e+65,46.7989,2.147106207878054e+31,0.04
