,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6428,0.9405,0.6166,0.6742,0.6307,0.5968,0.6015,0.042
lightgbm,Light Gradient Boosting Machine,0.6406,0.9392,0.6142,0.6746,0.6263,0.5948,0.5993,0.059
xgboost,Extreme Gradient Boosting,0.6347,0.932,0.6077,0.6734,0.6243,0.5882,0.5926,0.299
gbc,Gradient Boosting Classifier,0.6347,0.9317,0.6072,0.669,0.623,0.5884,0.593,0.314
rf,Random Forest Classifier,0.6227,0.9218,0.6011,0.6592,0.6102,0.5737,0.5789,0.067
ridge,Ridge Classifier,0.6228,0.0,0.5957,0.6414,0.6067,0.574,0.5793,0.004
dt,Decision Tree Classifier,0.6088,0.8335,0.5848,0.6447,0.5994,0.5595,0.5639,0.005
et,Extra Trees Classifier,0.6067,0.8878,0.5884,0.6275,0.5927,0.5567,0.5616,0.055
svm,SVM - Linear Kernel,0.6068,0.0,0.5834,0.6386,0.5888,0.5576,0.5656,0.008
ada,Ada Boost Classifier,0.3135,0.6689,0.2466,0.2016,0.2109,0.1895,0.2307,0.024
