,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
et,Extra Trees Classifier,0.6362,0.9019,0.6072,0.645,0.6237,0.5887,0.5927,0.051
xgboost,Extreme Gradient Boosting,0.6383,0.9361,0.6078,0.6388,0.6227,0.5913,0.5958,0.251
gbc,Gradient Boosting Classifier,0.6319,0.9275,0.6031,0.6447,0.6222,0.5846,0.5888,0.267
lr,Logistic Regression,0.6405,0.9371,0.6135,0.6269,0.6199,0.5937,0.5988,0.038
lightgbm,Light Gradient Boosting Machine,0.632,0.9369,0.6059,0.6387,0.6199,0.5845,0.5884,0.051
dt,Decision Tree Classifier,0.6298,0.8226,0.6037,0.6288,0.6135,0.5826,0.5875,0.005
svm,SVM - Linear Kernel,0.6279,0.0,0.6128,0.6476,0.6134,0.5808,0.588,0.008
ridge,Ridge Classifier,0.6234,0.0,0.6009,0.6362,0.6104,0.5745,0.5797,0.004
rf,Random Forest Classifier,0.6237,0.9202,0.5875,0.6268,0.6051,0.5733,0.5787,0.055
ada,Ada Boost Classifier,0.334,0.6978,0.2655,0.1964,0.2294,0.2255,0.2498,0.022
