,Species,Opsin_Family,Accession,Lambda_Max,Prediction,Difference
S26,Hemibates_stenosoma,Rh1,AB185222.1,496.0,489.17229159780146,-6.827708402198539
S127,Gekko_gecko,Rh2,M92035.1,467.0,477.6569234134974,10.656923413497395
S43,Xenotilapia_papilio,Rh1,AB457996.1,497.0,490.7425833194994,-6.257416680500626
S260,Lethenteron_camtschaticum,Rh1,M63632.1,500.0,497.4822662637221,-2.5177337362778758
S248,AncActino_sp.,Rh2,AncActino,488.0,490.19109669975654,2.1910966997565424
S86,Carassius_auratus,SWS1,D85863.1,359.0,358.5765581281755,-0.4234418718244797
S12,Altolamprologus_calvus,Rh1,AB458132.1,498.0,494.62461442766937,-3.3753855723306287
S246,Archosaur_sp.,Rh1,AF310191.1,508.0,493.0054328066146,-14.994567193385421
S303,Physeter_catodon,Rh1,XM_007126220,482.0,487.8198798680665,5.819879868066494
S232,Danio_rerio,Rh2,NM_182891.2,476.0,466.90672189434173,-9.093278105658271
S172,Poecilia_reticulata,LWS2,LC127183,516.0,536.4930962953184,20.493096295318423
S276,Chrysochroa_mniszechii,IV-UVS,OP722933.1,442.0,391.21351311741194,-50.786486882588065
S75,Gekko_gekko,Rh2,M92035,467.0,477.6569234134974,10.656923413497395
S70,Astyanax_mexicanus,Rh1,U12328.1,504.0,502.697464125868,-1.3025358741319906
S236,Metriaclima_zebra,Rh2,DQ088650,519.0,499.6532998669118,-19.346700133088177
S216,Oryzias_latipes,Rh2,AB223055,492.0,492.87592466503236,0.8759246650323576
S111,Cottus_gobio,SWS2,AJ430489,463.0,462.6677360130271,-0.3322639869729187
S197,Pieris_rapae,PrB,AB208675.1,450.0,383.9247836058263,-66.07521639417371
S160,Cavia_porcellus,MWS,AF132042.1,516.0,527.5009030691721,11.500903069172068
S189,Anolis_carolinensis,SWS1,AH007736,360.0,358.03941050577737,-1.9605894942226314
S156,Tursiops_truncatus,LWS,AF055457,524.0,526.0156960521397,2.015696052139674
S139,Rattus_norvegicus,SWS1,U63972.1,358.0,359.72078594067943,1.7207859406794341
S168,Eumaeus_atala,UVRh,MN831884.1,352.0,389.02548865507947,37.02548865507947
S245,Gallus_gallus,MWS,NM_205490.1,511.0,504.8162881615848,-6.183711838415206
S52,Rod_ancestor_pigmente,Rh1,pigmente,482.0,501.36154688284006,19.36154688284006
S280,Chrysochroa_mniszechii,IV-LWS,OP722950.1,507.0,520.5330770002897,13.533077000289722
S270,Loxodonta_africana,LWS,AY686754.1,552.0,531.9177527807769,-20.082247219223063
S298,Epargyreus_clarus,IV-LWS,OK930070.1,577.0,568.3049619448461,-8.695038055153873
S14,Altolamprologus_calvus,Rh1,AB084924.1,499.0,493.72605145912723,-5.273948540872766
S72,Bos_taurus,Rh1,P02699.1,500.0,498.8530700974729,-1.1469299025271198
S125,Carassius_auratus,Rh2,L11866,506.0,504.74261779156353,-1.2573822084364679
S4,Sargocentron_punctatissimum,Rh1,U57543.1,494.0,487.504506633685,-6.4954933663149745
S240,Carassius_auratus,LWS,L11865.1,511.0,510.1950063004955,-0.8049936995045073
S107,Phoca_groenlandicus,Rh1,AF055318,498.0,499.4936027444827,1.4936027444827005
S76,Oryzias_latipes,Rh2,AB223053.1,452.0,453.3927178388099,1.392717838809915
S54,Rod_ancestor_pigmentg,Rh1,pigmentg,501.0,491.36370034431485,-9.63629965568515
S195,Platynereis_dumerilii,LWS,AY692353.1,383.0,445.52658134698413,62.52658134698413
S273,Chrysochroa_rajah,inv-UVS,OP722930.1,431.0,397.3518770495193,-33.64812295048068
S274,Chrysochroa_rajah,IV-UVS,OP722931.1,356.0,361.8661273031648,5.866127303164774
S296,Sympetrum_frequens,IV-LWS,LC009064,542.0,528.6245186314176,-13.375481368582427
S50,Rod_ancestor_pigmentc,Rh1,pigmentc,501.0,505.4266278860556,4.4266278860555985
S166,Eumaeus_atala,BRh2,MN831882.1,500.0,439.55186710362216,-60.44813289637784
S11,Myripristis_berndti,Rh1,U57538.1,493.0,498.19637571730834,5.196375717308342
S237,Metriaclima_zebra,Rh2,DQ088652,484.0,475.51626986978823,-8.483730130211768
S304,Ochotona_princeps,SWS1,XM_004592516,431.0,428.5212453365864,-2.4787546634136106
S254,AncEutelo2_sp.,Rh2,AncEutelo2,489.0,484.6356933848148,-4.364306615185228
S174,Poecilia_reticulata,RH2-1,LC127186,516.0,531.9422661948028,15.942266194802755
S265,swsanc4_sp.,UVS,swsanc4,360.0,364.42589316121985,4.425893161219847
S151,Homo_sapiens,LWS,AH005298.2,560.0,556.5093990132796,-3.4906009867204375
S46,Paracyprichromis_nigripinnis,Rh1,AB458122.1,492.0,487.98937576875704,-4.010624231242957
