	Opsin_Class
Bovine	7
S1	7
S2	7
S3	5
S4	6
S5	6
S6	6
S7	5
S8	6
S9	6
S10	7
S11	6
S12	7
S13	7
S14	7
S15	6
S16	7
S17	5
S18	5
S19	7
S20	7
S21	7
S22	7
S23	5
S24	7
S25	7
S26	7
S27	7
S28	7
S29	8
S30	7
S31	6
S32	7
S33	7
S34	5
S35	5
S36	7
S37	5
S38	6
S39	7
S40	7
S41	7
S42	7
S43	7
S44	7
S45	6
S46	6
S47	5
S48	7
S49	7
S50	7
S51	7
S52	6
S53	6
S54	7
S55	6
S56	7
S57	7
S58	7
S59	7
S60	6
S61	7
S62	7
S63	6
S64	7
S65	6
S66	6
S67	6
S68	5
S69	7
S70	7
S71	6
S72	7
S73	7
S74	7
S75	6
S76	7
S77	7
S78	7
S79	7
S80	5
S81	7
S82	7
S83	7
S84	7
S85	5
S86	5
S87	5
S88	5
S89	7
S90	5
S91	9
S92	5
S93	6
S94	8
S95	5
S96	6
S97	4
S98	7
S99	5
S100	7
S101	6
S102	7
S103	4
S104	5
S105	5
S106	5
S107	5
S108	7
S109	9
S110	7
S111	8
S112	5
S113	7
S114	6
S115	5
S116	4
S117	8
S118	7
S119	5
S120	5
S121	7
S122	5
S123	6
S124	6
S125	6
S126	6
S127	7
S128	7
S129	7
S130	7
S131	7
S132	6
S133	7
S134	6
S135	7
S136	5
S137	7
S138	5
S139	9
S140	9
S141	5
S142	7
S143	5
S144	5
S145	6
S146	7
S147	7
S148	6
S149	6
S150	7
S151	5
S152	6
S153	5
S154	5
S155	5
S156	5
S157	6
S158	4
S159	7
S160	7
S161	6
S162	7
S163	5
S164	5
S165	7
S166	8
S167	8
S168	4
S169	5
S170	4
S171	4
S172	4
S173	7
S174	6
S175	5
S176	6
S177	6
S178	6
S179	6
S180	4
S181	5
S182	4
S183	4
S184	5
S185	8
S186	4
S187	4
S188	4
S189	4
S190	4
S191	4
S192	4
S193	4
S194	4
S195	4
S196	4
S197	9
S198	7
S199	9
S200	9
S201	9
S202	4
S203	4
S204	4
S205	4
S206	4
S207	7
S208	7
S209	7
S210	7
S211	8
S212	7
S213	7
S214	7
S215	7
S216	7
S217	7
S218	7
S219	7
S220	7
S221	7
S222	7
S223	7
S224	7
S225	0
S226	0
S227	3
S228	0
S229	0
S230	1
S231	2
S232	0
S233	2
S234	1
S235	2
S236	0
S237	0
S238	3
S239	3
S240	2
S241	3
S242	5
S243	5
S244	5
S245	7
S246	7
S247	7
S248	4
S249	4
S250	4
S251	4
S252	9
S253	9
S254	9
S255	9
S256	9
S257	9
S258	9
S259	9
S260	9
S261	9
S262	9
S263	9
S264	9
S265	9
S266	9
S267	9
S268	9
S269	9
S270	9
S271	9
S272	9
S273	9
S274	9
S275	9
S276	9
S277	9
S278	9
S279	9
S280	9
S281	4
S282	7
S283	8
S284	8
S285	9
S286	8
S287	8
S288	6
S289	7
S290	8
S291	5
S292	7
S293	7
S294	7
S295	8
S296	7
S297	7
S298	7
S299	5
S300	8
S301	8
S302	7
S303	4
S304	7
S305	8
S306	8
S307	0
S308	3
S309	0
S310	2
S311	2
S312	1
S313	3
S314	0
S315	0
S316	3
S317	3
S318	3
S319	3
S320	4
S321	9
S322	9
S323	9
S324	9
S325	9
S326	9
S327	9
S328	9
S329	8
S330	8
S331	8
S332	9
S333	9
S334	9
S335	9
S336	8
S337	9
S338	5
S339	5
S340	0
S341	0
S342	2
S343	2
S344	2
S345	1
S346	2
S347	1
S348	1
S349	2
S350	0
S351	0
S352	3
S353	7
S354	9
S355	0
S356	9
S357	4
S358	3
S359	9
S360	9
S361	8
S362	9
S363	9
S364	9
S365	4
S366	8
S367	9
S368	9
S369	9
S370	9
S371	9
S372	9
S373	9
S374	8
S375	8
S376	8
S377	4
S378	3
S379	2
S380	0
S381	7
S382	0
S383	3
S384	7
S385	6
S386	3
S387	0
S388	2
S389	2
S390	1
S391	1
S392	1
S393	0
S394	1
S395	2
S396	1
S397	2
S398	3
S399	1
S400	8
S401	8
S402	7
S403	7
S404	2
S405	3
S406	2
S407	3
S408	2
S409	6
S410	6
S411	6
S412	7
S413	5
S414	4
S415	5
S416	1
S417	5
S418	5
S419	5
S420	5
S421	5
S422	5
S423	4
S424	3
S425	3
S426	3
S427	3
S428	3
S429	9
S430	7
S431	7
S432	2
S433	4
S434	5
S435	4
S436	9
S437	7
S438	9
S439	9
S440	8
S441	8
S442	9
S443	8
S444	8
S445	8
S446	7
S447	8
S448	8
S449	7
S450	8
S451	7
S452	6
S453	8
S454	3
S455	1
S456	1
S457	3
S458	3
S459	3
S460	3
S461	3
S462	3
S463	3
S464	3
S465	3
S466	4
S467	8
S468	6
S469	3
S470	8
S471	6
S472	3
S473	8
S474	5
S475	4
S476	8
S477	6
S478	4
S479	8
S480	6
S481	4
S482	8
S483	6
S484	6
S485	8
S486	8
S487	8
S488	8
S489	8
S490	8
S491	8
S492	8
S493	8
S494	8
S495	8
S496	8
S497	8
S498	8
S499	8
S500	8
S501	8
S502	8
S503	8
S504	4
S505	4
S506	4
S507	4
S508	5
S509	2
S510	4
S511	4
S512	3
S513	2
S514	3
S515	2
S516	3
S517	2
S518	2
S519	3
S520	2
S521	2
S522	2
S523	2
S524	2
S525	2
S526	2
S527	2
S528	2
S529	2
S530	2
S531	2
S532	3
S533	3
S534	3
S535	3
S536	3
S537	3
S538	3
S539	3
S540	3
S541	3
S542	5
S543	5
S544	4
S545	7
S546	4
S547	4
S548	4
S549	5
S550	8
S551	9
S552	8
S553	5
S554	3
S555	1
S556	8
S557	8
S558	7
S559	3
S560	8
S561	8
S562	6
S563	7
S564	5
S565	7
S566	5
S567	8
S568	9
S569	8
S570	8
S571	8
S572	8
S573	8
S574	7
S575	5
S576	6
S577	6
