,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6447,0.9333,0.6147,0.6554,0.631,0.5984,0.6019,0.294
lightgbm,Light Gradient Boosting Machine,0.6407,0.9321,0.6099,0.6606,0.6284,0.5937,0.5975,0.058
gbc,Gradient Boosting Classifier,0.6327,0.9226,0.6062,0.6509,0.6245,0.5849,0.5882,0.294
lr,Logistic Regression,0.6308,0.9354,0.5981,0.6348,0.6143,0.5817,0.586,0.042
et,Extra Trees Classifier,0.6168,0.8879,0.5935,0.6369,0.6054,0.5666,0.5709,0.053
svm,SVM - Linear Kernel,0.6127,0.0,0.5876,0.6333,0.5982,0.5624,0.5679,0.009
dt,Decision Tree Classifier,0.6047,0.8152,0.5758,0.6315,0.595,0.5536,0.5578,0.005
ridge,Ridge Classifier,0.6068,0.0,0.5725,0.6261,0.59,0.5544,0.5593,0.004
rf,Random Forest Classifier,0.6028,0.9223,0.5692,0.6008,0.5811,0.5494,0.5543,0.055
ada,Ada Boost Classifier,0.2675,0.653,0.1949,0.118,0.1474,0.1328,0.17,0.023
