,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6607,0.9243,0.6382,0.6699,0.6455,0.616,0.6205,0.043
lightgbm,Light Gradient Boosting Machine,0.6527,0.9258,0.6324,0.6705,0.6414,0.6082,0.6118,0.057
xgboost,Extreme Gradient Boosting,0.6507,0.9205,0.6306,0.6628,0.639,0.6061,0.6091,0.29
gbc,Gradient Boosting Classifier,0.6387,0.9199,0.6152,0.635,0.622,0.5927,0.5962,0.297
ridge,Ridge Classifier,0.6288,0.0,0.6116,0.6574,0.6195,0.5801,0.5853,0.004
rf,Random Forest Classifier,0.6307,0.9124,0.6096,0.6325,0.6132,0.5826,0.5866,0.055
et,Extra Trees Classifier,0.6088,0.8715,0.5919,0.6255,0.5951,0.5584,0.5622,0.049
dt,Decision Tree Classifier,0.6008,0.814,0.5934,0.6164,0.5869,0.5506,0.5541,0.005
svm,SVM - Linear Kernel,0.5948,0.0,0.5829,0.5997,0.5745,0.544,0.5504,0.008
ada,Ada Boost Classifier,0.2815,0.6035,0.2124,0.1274,0.1569,0.1446,0.1927,0.024
