,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6829,0.9344,0.6661,0.7086,0.6765,0.6418,0.6456,0.054
xgboost,Extreme Gradient Boosting,0.685,0.9332,0.6707,0.7065,0.6754,0.6443,0.6488,0.254
gbc,Gradient Boosting Classifier,0.6702,0.9276,0.6548,0.6914,0.6603,0.6271,0.6315,0.253
lr,Logistic Regression,0.6699,0.9354,0.6538,0.6904,0.6597,0.6265,0.631,0.037
ridge,Ridge Classifier,0.6615,0.0,0.6389,0.6888,0.654,0.6172,0.6211,0.004
rf,Random Forest Classifier,0.651,0.9132,0.6303,0.6618,0.6372,0.6044,0.6089,0.06
et,Extra Trees Classifier,0.6341,0.8941,0.6201,0.65,0.6232,0.5865,0.5908,0.051
dt,Decision Tree Classifier,0.6213,0.8193,0.6157,0.6419,0.6104,0.5739,0.5778,0.005
svm,SVM - Linear Kernel,0.6152,0.0,0.6104,0.6724,0.6059,0.568,0.5755,0.008
ada,Ada Boost Classifier,0.3171,0.6952,0.2535,0.2298,0.2349,0.21,0.2297,0.022
