,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6553,0.9349,0.6278,0.679,0.6393,0.6097,0.6163,0.25
lightgbm,Light Gradient Boosting Machine,0.6552,0.9393,0.6282,0.675,0.6371,0.6099,0.6161,0.058
lr,Logistic Regression,0.6553,0.9353,0.6241,0.6561,0.635,0.6094,0.6159,0.036
ridge,Ridge Classifier,0.6446,0.0,0.6137,0.633,0.6185,0.5967,0.6025,0.003
gbc,Gradient Boosting Classifier,0.634,0.9287,0.6028,0.6538,0.616,0.5854,0.5917,0.25
svm,SVM - Linear Kernel,0.6172,0.0,0.5943,0.6793,0.6092,0.5678,0.5771,0.008
rf,Random Forest Classifier,0.6214,0.9141,0.5959,0.6395,0.6036,0.5704,0.5774,0.054
et,Extra Trees Classifier,0.615,0.8942,0.5927,0.6352,0.5992,0.5643,0.5699,0.051
dt,Decision Tree Classifier,0.6088,0.8194,0.5807,0.6307,0.5952,0.5574,0.5628,0.005
ada,Ada Boost Classifier,0.3614,0.7338,0.2966,0.2424,0.2659,0.2586,0.2799,0.021
