,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6346,0.9168,0.6014,0.6611,0.6276,0.5872,0.5912,0.294
xgboost,Extreme Gradient Boosting,0.6326,0.9281,0.5984,0.6552,0.6243,0.5839,0.5879,0.284
lr,Logistic Regression,0.6327,0.9271,0.6043,0.6505,0.6234,0.584,0.5885,0.048
lightgbm,Light Gradient Boosting Machine,0.6247,0.9278,0.5933,0.65,0.6171,0.5755,0.5793,0.059
dt,Decision Tree Classifier,0.6187,0.8246,0.5911,0.639,0.6081,0.5697,0.5734,0.005
et,Extra Trees Classifier,0.6087,0.8844,0.579,0.6308,0.6006,0.5573,0.5608,0.052
rf,Random Forest Classifier,0.6127,0.9119,0.5796,0.6276,0.5979,0.56,0.5646,0.056
ridge,Ridge Classifier,0.6049,0.0,0.5784,0.6262,0.5933,0.5517,0.5572,0.004
svm,SVM - Linear Kernel,0.6007,0.0,0.5667,0.6235,0.5869,0.548,0.5535,0.008
ada,Ada Boost Classifier,0.2914,0.7057,0.2166,0.2127,0.2026,0.1619,0.1903,0.022
