,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6493,0.93,0.6274,0.6633,0.6351,0.6027,0.6081,0.054
xgboost,Extreme Gradient Boosting,0.6492,0.9237,0.6263,0.6639,0.6348,0.6024,0.6074,0.257
lr,Logistic Regression,0.6471,0.9316,0.6231,0.6571,0.6295,0.5997,0.6049,0.039
ridge,Ridge Classifier,0.647,0.0,0.6196,0.6686,0.6292,0.5992,0.6053,0.004
gbc,Gradient Boosting Classifier,0.6409,0.9198,0.6116,0.6562,0.6278,0.5932,0.5979,0.27
rf,Random Forest Classifier,0.6176,0.9123,0.5988,0.6366,0.6026,0.5659,0.5716,0.054
et,Extra Trees Classifier,0.6112,0.8906,0.5946,0.6277,0.5987,0.5597,0.5651,0.052
dt,Decision Tree Classifier,0.6047,0.8174,0.59,0.6158,0.5934,0.5533,0.5576,0.004
svm,SVM - Linear Kernel,0.6004,0.0,0.5908,0.6344,0.5851,0.5488,0.5583,0.008
ada,Ada Boost Classifier,0.3658,0.7357,0.2891,0.2225,0.2584,0.2572,0.2843,0.023
