,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6424,0.9354,0.6253,0.657,0.633,0.5959,0.6002,0.039
lightgbm,Light Gradient Boosting Machine,0.6445,0.933,0.6241,0.654,0.6289,0.5986,0.6031,0.056
xgboost,Extreme Gradient Boosting,0.6341,0.9266,0.615,0.6477,0.6219,0.5868,0.5912,0.278
ridge,Ridge Classifier,0.6297,0.0,0.6078,0.6441,0.6176,0.5817,0.5865,0.004
gbc,Gradient Boosting Classifier,0.6213,0.923,0.5984,0.6449,0.6119,0.5724,0.5767,0.292
dt,Decision Tree Classifier,0.6021,0.8227,0.5919,0.6527,0.5975,0.5536,0.5586,0.005
rf,Random Forest Classifier,0.6044,0.9162,0.5921,0.6155,0.5919,0.5537,0.5579,0.065
et,Extra Trees Classifier,0.5874,0.8913,0.5806,0.6128,0.5777,0.5356,0.5405,0.052
svm,SVM - Linear Kernel,0.5896,0.0,0.5965,0.6328,0.577,0.5404,0.5484,0.008
ada,Ada Boost Classifier,0.2772,0.6959,0.2406,0.1689,0.1894,0.1762,0.1956,0.023
