,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6615,0.9318,0.6455,0.6707,0.6456,0.6166,0.6212,0.049
gbc,Gradient Boosting Classifier,0.6488,0.9253,0.6332,0.6712,0.6413,0.6031,0.6071,0.258
lr,Logistic Regression,0.6489,0.933,0.6279,0.6589,0.6339,0.6022,0.6068,0.034
xgboost,Extreme Gradient Boosting,0.649,0.9275,0.6357,0.6541,0.6332,0.6028,0.6081,0.246
dt,Decision Tree Classifier,0.6234,0.8312,0.6139,0.6406,0.613,0.5752,0.5799,0.005
et,Extra Trees Classifier,0.6257,0.8913,0.617,0.636,0.6123,0.577,0.5815,0.053
rf,Random Forest Classifier,0.6235,0.9255,0.6119,0.6305,0.6078,0.5734,0.5779,0.054
ridge,Ridge Classifier,0.6172,0.0,0.5978,0.6304,0.6027,0.5664,0.5708,0.004
svm,SVM - Linear Kernel,0.6089,0.0,0.5959,0.6156,0.5865,0.5559,0.5625,0.008
ada,Ada Boost Classifier,0.3213,0.7137,0.2598,0.2145,0.2299,0.2081,0.2341,0.022
