,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6446,0.9261,0.6266,0.6533,0.6326,0.5993,0.6024,0.062
gbc,Gradient Boosting Classifier,0.6426,0.9181,0.6235,0.6423,0.6289,0.5972,0.6003,0.33
lr,Logistic Regression,0.6347,0.9204,0.6093,0.6474,0.6187,0.5869,0.5915,0.044
svm,SVM - Linear Kernel,0.6327,0.0,0.6094,0.6422,0.611,0.5855,0.5918,0.009
xgboost,Extreme Gradient Boosting,0.6226,0.9195,0.5992,0.637,0.6102,0.574,0.5775,0.356
ridge,Ridge Classifier,0.6127,0.0,0.5908,0.6175,0.5976,0.5618,0.5661,0.004
rf,Random Forest Classifier,0.5867,0.9026,0.5702,0.6055,0.5767,0.5333,0.537,0.059
et,Extra Trees Classifier,0.5847,0.8761,0.5718,0.5972,0.5748,0.5315,0.5343,0.054
dt,Decision Tree Classifier,0.5848,0.8083,0.5723,0.603,0.5744,0.5326,0.5364,0.005
ada,Ada Boost Classifier,0.2995,0.7168,0.2594,0.2301,0.2318,0.1922,0.2075,0.03
