,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6367,0.9216,0.6043,0.6508,0.6251,0.5887,0.5923,0.315
et,Extra Trees Classifier,0.6365,0.8918,0.6092,0.6448,0.6198,0.589,0.593,0.056
lr,Logistic Regression,0.6346,0.9254,0.6052,0.6476,0.6185,0.5859,0.5901,0.046
ridge,Ridge Classifier,0.6329,0.0,0.6076,0.6435,0.6125,0.5843,0.5894,0.004
gbc,Gradient Boosting Classifier,0.6285,0.9175,0.5978,0.6403,0.6101,0.5802,0.5843,0.302
lightgbm,Light Gradient Boosting Machine,0.6246,0.9239,0.587,0.6343,0.6098,0.5747,0.5788,0.062
dt,Decision Tree Classifier,0.6207,0.8254,0.5939,0.6506,0.6067,0.5717,0.5771,0.005
rf,Random Forest Classifier,0.6047,0.9204,0.5733,0.6034,0.5811,0.5511,0.5567,0.058
svm,SVM - Linear Kernel,0.5907,0.0,0.5759,0.6209,0.5682,0.5389,0.5469,0.009
ada,Ada Boost Classifier,0.3054,0.7157,0.2473,0.263,0.2433,0.1967,0.2145,0.023
