,feature,Gradient Boosting Classifier,Extreme Gradient Boosting,Light Gradient Boosting Machine,mean_imp
0,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0
19,20,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.0,0.0
24,25,0.0,0.0,0.0,0.0
25,26,0.0,0.0,0.0,0.0
26,27,0.0,0.0,0.0,0.0
27,28,0.0,0.0,0.0,0.0
28,29,0.0,0.0,0.0,0.0
29,30,0.0,0.0,0.0,0.0
30,31,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0
32,33,0.0,0.0,0.0,0.0
33,34,0.0,0.0,0.0,0.0
34,35,0.0,0.0,0.0,0.0
35,36,0.0,0.0,0.0,0.0
36,37,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0
38,39,0.0,0.0,0.0,0.0
39,40,0.0,0.0,0.0,0.0
40,41,0.0,0.0,0.0,0.0
41,42,0.0,0.0,0.0,0.0
42,43,0.0,0.0,0.0,0.0
43,44,0.0,0.0,0.0,0.0
44,45,0.0,0.0,0.0,0.0
45,46,0.0,0.0,0.0,0.0
46,47,0.0,0.0,0.0,0.0
47,48,0.0,0.0,0.0,0.0
48,49,0.0,0.0,0.0,0.0
49,50,0.0,0.0,0.0,0.0
50,51,0.0,0.0,0.0,0.0
51,52,0.0,0.0,0.0,0.0
52,53,0.0,0.0,0.0,0.0
53,54,0.0,0.0,0.0,0.0
54,55,0.0,0.0,0.0,0.0
55,56,0.0,0.0,0.0,0.0
56,57,0.0,0.0,0.0,0.0
57,58,0.0,0.0,0.0,0.0
58,59,0.0,0.0,0.0,0.0
59,60,0.0,0.0,0.0,0.0
60,61,0.0,0.0,0.0,0.0
61,62,0.0,0.0,0.0,0.0
62,63,0.0,0.0,0.0,0.0
63,64,0.0,0.0,0.0,0.0
64,65,0.0,0.0,0.0,0.0
65,66,0.9048605843773617,0.36093447,0.4195710455764075,0.5617886986924501
66,67,0.09970215490550204,0.11580018,0.012064343163538873,0.07585555920338398
67,68,0.7239570165395708,0.3741094,0.3190348525469169,0.47236708549475126
68,69,0.5337304601259973,0.14782037,0.24664879356568364,0.3093998740336126
69,70,0.747234222844546,0.38921013,0.3445040214477212,0.49364945967897045
70,71,0.1903626670748403,0.18144482,0.26541554959785524,0.2124076801382028
71,72,0.0,0.0,0.0,0.0
72,73,0.0,0.0,0.0,0.0
73,74,0.0,0.0,0.0,0.0
74,75,0.09970215490550204,0.11580018,0.012064343163538873,0.07585555920338398
75,76,0.5793755567302837,0.2573373,0.20777479892761394,0.34816255254247525
76,77,0.5659716947795048,0.42131072,0.15951742627345844,0.3822666146269582
77,78,0.7331347699370014,0.37942073,0.2707774798927614,0.4611109924403805
78,79,0.017875536349598806,0.0068469313,0.036193029490616625,0.020305165712515828
79,80,0.0,0.0,0.0,0.0
80,81,0.19940430981100407,0.23160036,0.024128686327077747,0.15171111840676796
81,82,0.31513523975601093,0.18388341,0.1353887399463807,0.21146913112494628
82,83,0.0,0.0,0.0,0.0
83,84,0.0,0.0,0.0,0.0
84,85,0.0,0.0,0.0,0.0
85,86,0.0,0.0,0.0,0.0
86,87,0.0,0.0,0.0,0.0
87,88,0.0,0.0,0.0,0.0
88,89,0.0,0.0,0.0,0.0
89,90,0.0,0.0,0.0,0.0
90,91,0.0,0.0,0.0,0.0
91,92,0.0,0.0,0.0,0.0
92,93,0.0,0.0,0.0,0.0
93,94,0.0,0.0,0.0,0.0
94,95,0.6334326150314993,0.26362056,0.2587131367292225,0.3852554357205234
95,96,0.3665673849685007,0.18971036,0.1353887399463807,0.23055549622019025
96,97,0.41221248157278706,0.2992273,0.09651474530831099,0.2693181747290529
97,98,0.37073861400137387,0.11668157,0.3552278820375335,0.28088268812115774
98,99,0.42456770617449263,0.21325982,0.2761394101876676,0.3046556441772996
99,100,0.20283997067706816,0.23346464,0.0777479892761394,0.17135086777079725
100,101,0.27283709199837164,0.23690179,0.2453083109919571,0.25168239763132316
101,102,0.0,0.0,0.0,0.0
102,103,0.0,0.0,0.0,0.0
103,104,0.0,0.0,0.0,0.0
104,105,0.0,0.0,0.0,0.0
105,106,0.0,0.0,0.0,0.0
106,107,0.0,0.0,0.0,0.0
107,108,0.0,0.0,0.0,0.0
108,109,0.0,0.0,0.0,0.0
109,110,0.0,0.0,0.0,0.0
110,111,0.12190913093473982,0.12784219,0.22654155495978553,0.158764291258665
111,112,0.5850838316872852,0.2609999,0.42359249329758714,0.42322540438885287
112,113,0.44254350587668545,0.22659215,0.46112600536193027,0.3767538881831305
113,114,0.4935543847078965,0.36029035,0.19168900804289543,0.34851124709353587
114,115,0.3323219601047013,0.1843118,0.14209115281501342,0.21957497335844126
115,116,0.12689794910211172,0.15662815,0.11394101876675604,0.13248903821216135
116,117,0.3665673849685007,0.18971036,0.1353887399463807,0.23055549622019025
117,118,0.19940430981100407,0.23160036,0.024128686327077747,0.15171111840676796
118,119,0.37189012663009186,0.19234867,0.15281501340482573,0.2390179379915408
119,120,0.032208723066702465,0.019593602,0.40482573726541554,0.15220935412616285
120,121,0.5337304601259973,0.14782037,0.24664879356568364,0.3093998740336126
121,122,0.46626953987400277,0.30551055,0.14745308310991956,0.3064110579071011
122,123,0.5436399149522547,0.08308334,1.0,0.5422410846625886
123,124,0.04560105447905025,0.025441868,0.4168900804289544,0.16264433437956838
124,125,0.09970215490550204,0.11580018,0.012064343163538873,0.07585555920338398
125,126,0.757203037510583,0.38607776,0.32707774798927614,0.49011951571664825
126,127,0.19940430981100407,0.23160036,0.024128686327077747,0.15171111840676796
127,128,0.648677895956872,0.27136034,0.32439678284182305,0.41481167217763915
128,129,0.0,0.0,0.0,0.0
129,130,0.2845791651183648,0.10038171,0.20777479892761394,0.19757855789374548
130,131,0.539415765749044,0.14973769,0.2479892761394102,0.3123809092690874
131,132,0.0,0.0,0.0,0.0
132,133,0.0,0.0,0.0,0.0
133,134,0.26686523006299867,0.073910184,0.12332439678284182,0.1546999370168063
134,135,0.09970215490550204,0.11580018,0.012064343163538873,0.07585555920338398
135,136,0.7638091430129157,0.28337672,0.38605898123324395,0.477748282591356
136,137,0.29910646471650615,0.34740052,0.036193029490616625,0.22756667015957133
137,138,0.09970215490550204,0.11580018,0.012064343163538873,0.07585555920338398
138,139,0.23957405611261431,0.1407818,0.42761394101876676,0.26932326735020795
139,140,0.18397575973980645,0.14565861,0.5817694369973191,0.30380126966280246
140,141,0.8328369248425035,0.4952209,0.2828418230563003,0.5369665491602377
141,142,0.0,0.0,0.0,0.0
142,143,0.0,0.0,0.0,0.0
143,144,0.19940430981100407,0.23160036,0.024128686327077747,0.15171111840676796
144,145,0.0,0.0,0.0,0.0
145,146,0.09970215490550204,0.11580018,0.012064343163538873,0.07585555920338398
146,147,0.3665673849685007,0.18971036,0.1353887399463807,0.23055549622019025
147,148,0.09970215490550204,0.11580018,0.012064343163538873,0.07585555920338398
