,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6409,0.9326,0.6117,0.6715,0.6286,0.5952,0.6002,0.301
xgboost,Extreme Gradient Boosting,0.6348,0.9331,0.6046,0.6629,0.6168,0.5881,0.5939,0.31
lightgbm,Light Gradient Boosting Machine,0.6308,0.9374,0.5993,0.6458,0.6088,0.5833,0.5901,0.06
lr,Logistic Regression,0.6088,0.9324,0.5803,0.6199,0.5928,0.5585,0.5629,0.048
ridge,Ridge Classifier,0.6029,0.0,0.5736,0.6181,0.5864,0.5514,0.5568,0.004
et,Extra Trees Classifier,0.5949,0.8763,0.5758,0.6077,0.5784,0.5434,0.5487,0.049
rf,Random Forest Classifier,0.5927,0.9214,0.5663,0.6079,0.5732,0.5397,0.5457,0.056
dt,Decision Tree Classifier,0.5769,0.8157,0.5504,0.5959,0.5644,0.5241,0.5291,0.005
svm,SVM - Linear Kernel,0.555,0.0,0.546,0.5855,0.5373,0.5011,0.5105,0.008
ada,Ada Boost Classifier,0.3074,0.6775,0.2418,0.1745,0.1952,0.184,0.2308,0.023
